Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,Plays,NameASCII,PlayerId,MLBAMID
2002,"José Hernández","MIL","SS",149,148,1268.1,244,452,19,8,11,97,44,52,11,,,,,,0,"Jose Hernandez",688,115825
2002,"Tyler Houston","LAD","1B",11,9,86,92,3,2,2,0,9,1,0,8,0,,,,,0,"Tyler Houston",689,116191
2002,"Tyler Houston","MIL","1B",1,0,2,4,0,0,0,0,0,0,0,0,0,,,,,0,"Tyler Houston",689,116191
2002,"Tyler Houston","LAD","3B",2,2,13.1,0,4,1,0,1,0,0,0,0,,,,,,0,"Tyler Houston",689,116191
2002,"Tyler Houston","MIL","3B",72,67,575.2,44,102,8,4,4,6,9,0,1,,,,,,0,"Tyler Houston",689,116191
2002,"Geoff Jenkins","MIL","LF",66,65,570.1,124,7,1,0,1,0,1,0,0,,,,,,0,"Geoff Jenkins",690,132961
2002,"Luis Lopez","BAL","1B",1,0,5,5,0,0,0,0,0,0,0,0,0,,,,,0,"Luis Lopez",695,117922
2002,"Luis Lopez","BAL","2B",12,8,84,12,18,1,1,0,2,2,0,1,,,,,,0,"Luis Lopez",695,117922
2002,"Luis Lopez","BAL","SS",22,10,114,18,40,2,1,1,5,2,3,0,,,,,,0,"Luis Lopez",695,117922
2002,"Luis Lopez","MIL","SS",4,0,14.1,3,1,0,0,0,0,0,0,0,,,,,,0,"Luis Lopez",695,117922
2002,"Alex Ochoa","MIL","CF",2,0,6,3,0,0,0,0,0,0,0,0,,,,,,0,"Alex Ochoa",700,119913
2002,"Alex Ochoa","ANA","LF",7,5,48,12,0,1,0,1,0,0,0,0,,,,,,0,"Alex Ochoa",700,119913
2002,"Alex Ochoa","MIL","LF",18,12,113.2,28,1,0,0,0,0,0,0,0,,,,,,0,"Alex Ochoa",700,119913
2002,"Alex Ochoa","ANA","RF",31,10,136,25,2,0,0,0,0,1,0,0,,,,,,0,"Alex Ochoa",700,119913
2002,"Alex Ochoa","MIL","RF",59,41,386.2,102,4,1,1,0,0,1,0,0,,,,,,0,"Alex Ochoa",700,119913
2002,"Alex Sanchez","MIL","CF",86,78,694.1,234,0,5,4,1,0,0,0,0,,,,,,0,"Alex Sanchez",708,400128
2002,"Alex Sanchez","MIL","LF",16,14,121.1,38,1,0,0,0,0,0,0,0,,,,,,0,"Alex Sanchez",708,400128
2002,"Richie Sexson","MIL","1B",155,154,1324.1,1229,121,7,4,3,123,12,2,127,9,,,,,0,"Richie Sexson",709,122027
2002,"Ryan Thompson","MIL","CF",5,3,23,4,0,0,0,0,0,0,0,0,,,,,,0,"Ryan Thompson",713,123302
2002,"Ryan Thompson","MIL","LF",34,18,184.1,42,1,0,0,0,0,0,0,0,,,,,,0,"Ryan Thompson",713,123302
2002,"Ryan Thompson","MIL","RF",14,6,71.2,16,1,1,1,0,0,0,0,0,,,,,,0,"Ryan Thompson",713,123302
2002,"Eric Young Sr.","MIL","2B",122,120,1034,244,320,12,7,5,74,39,37,4,,,,,,0,"Eric Young Sr.",716,124695
2002,"Eric Young Sr.","MIL","LF",1,1,7,0,0,0,0,0,0,0,0,0,,,,,,0,"Eric Young Sr.",716,124695
2002,"Eric Young Sr.","MIL","RF",1,0,1.2,1,0,0,0,0,0,0,0,0,,,,,,0,"Eric Young Sr.",716,124695
2002,"Casey Blake","MIN","1B",3,0,6.1,9,0,0,0,0,0,0,0,0,0,,,,,0,"Casey Blake",719,232694
2002,"Casey Blake","MIN","3B",5,5,44,5,6,2,1,1,1,1,0,0,,,,,,0,"Casey Blake",719,232694
2002,"Brian Buchanan","SDP","1B",15,7,73.2,74,6,0,0,0,6,0,0,6,0,,,,,0,"Brian Buchanan",720,150211
2002,"Brian Buchanan","MIN","RF",24,20,166.1,48,0,0,0,0,0,0,0,0,,,,,,0,"Brian Buchanan",720,150211
2002,"Brian Buchanan","SDP","RF",14,13,95.1,18,0,1,1,0,0,0,0,0,,,,,,0,"Brian Buchanan",720,150211
2002,"Jay Canizaro","MIN","2B",30,25,211.1,39,62,1,1,0,12,5,8,0,,,,,,0,"Jay Canizaro",722,111957
2002,"Jay Canizaro","MIN","3B",8,7,67.1,3,16,2,2,0,3,3,0,0,,,,,,0,"Jay Canizaro",722,111957
2002,"Jack Cressend","MIN","2B",1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,"Jack Cressend",723,150162
2002,"Cristian Guzman","MIN","SS",146,143,1261.2,244,364,12,9,3,80,39,40,5,,,,,,0,"Cristian Guzman",728,150217
2002,"Denny Hocking","MIN","1B",6,0,10,9,0,0,0,0,0,0,0,0,0,,,,,0,"Denny Hocking",730,116000
2002,"Denny Hocking","MIN","2B",56,42,393.2,71,115,7,4,3,22,9,13,0,,,,,,0,"Denny Hocking",730,116000
2002,"Denny Hocking","MIN","3B",16,9,95,10,20,0,0,0,2,2,0,0,,,,,,0,"Denny Hocking",730,116000
2002,"Denny Hocking","MIN","CF",1,0,1,1,0,0,0,0,0,0,0,0,,,,,,0,"Denny Hocking",730,116000
2002,"Denny Hocking","MIN","RF",4,0,11,3,0,0,0,0,0,0,0,0,,,,,,0,"Denny Hocking",730,116000
2002,"Denny Hocking","MIN","SS",25,18,173,32,40,3,1,2,8,4,4,0,,,,,,0,"Denny Hocking",730,116000
2002,"Torii Hunter","MIN","CF",146,144,1234.2,363,7,3,3,0,0,0,0,0,,,,,,0,"Torii Hunter",731,116338
2002,"Jacque Jones","MIN","LF",143,134,1179,336,11,5,2,3,0,2,0,1,,,,,,0,"Jacque Jones",735,150218
2002,"Bobby Kielty","MIN","1B",5,4,35,27,2,0,0,0,4,0,0,4,0,,,,,0,"Bobby Kielty",736,282878
2002,"Bobby Kielty","MIN","CF",34,16,193,47,1,0,0,0,0,0,0,0,,,,,,0,"Bobby Kielty",736,282878
2002,"Bobby Kielty","MIN","LF",9,5,54,9,0,0,0,0,0,0,0,0,,,,,,0,"Bobby Kielty",736,282878
2002,"Bobby Kielty","MIN","RF",50,42,380,103,3,0,0,0,0,1,0,1,,,,,,0,"Bobby Kielty",736,282878
2002,"Corey Koskie","MIN","3B",138,136,1180.1,118,252,12,7,5,14,15,0,1,,,,,,0,"Corey Koskie",738,136731
2002,"Doug Mientkiewicz","MIN","1B",143,132,1177.1,1069,67,5,3,2,90,6,0,89,35,,,,,0,"Doug Mientkiewicz",741,137006
2002,"Dustan Mohr","MIN","CF",1,1,8,1,0,0,0,0,0,0,0,0,,,,,,0,"Dustan Mohr",744,407380
2002,"Dustan Mohr","MIN","LF",28,19,178.2,44,1,0,0,0,0,0,0,0,,,,,,0,"Dustan Mohr",744,407380
2002,"Dustan Mohr","MIN","RF",94,78,718,193,3,2,1,1,0,0,1,0,,,,,,0,"Dustan Mohr",744,407380
2002,"David Ortiz","MIN","1B",15,13,106,93,5,1,1,0,8,0,0,8,3,,,,,0,"David Ortiz",745,120074
2002,"Michael Restovich","MIN","LF",4,1,18,5,0,0,0,0,0,0,0,0,,,,,,0,"Michael Restovich",751,282879
2002,"Michael Restovich","MIN","RF",1,1,9,2,0,0,0,0,0,0,0,0,,,,,,0,"Michael Restovich",751,282879
2002,"Luis Rivas","MIN","2B",93,91,811.2,147,204,5,5,0,47,17,30,3,,,,,,0,"Luis Rivas",753,276372
2002,"Michael Barrett","MON","1B",6,2,21.2,28,0,0,0,0,3,0,0,4,0,,,,,0,"Michael Barrett",762,136664
2002,"Peter Bergeron","MON","CF",31,30,280,77,0,2,2,0,0,0,0,0,,,,,,0,"Peter Bergeron",763,150395
2002,"Orlando Cabrera","MON","SS",153,150,1352.1,237,496,30,17,13,95,46,50,10,,,,,,0,"Orlando Cabrera",766,111851
2002,"Endy Chavez","MON","CF",35,27,274,82,7,1,1,0,0,2,0,0,,,,,,0,"Endy Chavez",768,346795
2002,"Wil Cordero","CLE","1B",1,0,2,1,0,0,0,0,0,0,0,0,0,,,,,0,"Wil Cordero",770,112680
2002,"Wil Cordero","MON","1B",10,8,63,66,5,0,0,0,6,1,0,5,1,,,,,0,"Wil Cordero",770,112680
2002,"Wil Cordero","CLE","LF",4,4,33,8,2,0,0,0,0,1,0,0,,,,,,0,"Wil Cordero",770,112680
2002,"Wil Cordero","MON","LF",24,21,169.1,42,1,1,1,0,0,0,0,0,,,,,,0,"Wil Cordero",770,112680
2002,"Wil Cordero","MON","RF",5,1,22,3,0,1,1,0,0,0,0,0,,,,,,0,"Wil Cordero",770,112680
2002,"Vladimir Guerrero","MON","RF",161,160,1409.1,298,14,10,6,4,0,4,0,0,,,,,,0,"Vladimir Guerrero",778,115223
2002,"Troy O'Leary","MON","LF",69,68,561.1,126,1,3,1,2,0,0,0,0,,,,,,0,"Troy O'Leary",789,119975
2002,"Troy O'Leary","MON","RF",1,0,0.1,0,0,0,0,0,0,0,0,0,,,,,,0,"Troy O'Leary",789,119975
2002,"Brandon Phillips","CLE","2B",11,8,80.2,16,28,2,2,0,3,2,1,1,,,,,,0,"Brandon Phillips",791,408252
2002,"Brian Schneider","MON","LF",1,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,"Brian Schneider",795,150411
2002,"Brian Schneider","MON","RF",1,0,3,0,0,0,0,0,0,0,0,0,,,,,,0,"Brian Schneider",795,150411
2002,"Lee Stevens","CLE","1B",25,21,192,212,8,3,2,1,16,2,0,19,1,,,,,0,"Lee Stevens",796,122765
2002,"Lee Stevens","MON","1B",58,56,490.1,515,43,4,4,0,44,7,1,42,7,,,,,0,"Lee Stevens",796,122765
2002,"Lee Stevens","CLE","LF",11,10,73,24,1,0,0,0,0,0,0,0,,,,,,0,"Lee Stevens",796,122765
2002,"Lee Stevens","CLE","RF",5,5,40,8,0,0,0,0,0,0,0,0,,,,,,0,"Lee Stevens",796,122765
2002,"Fernando Tatis","MON","3B",99,99,832.2,59,179,13,5,8,12,14,3,2,,,,,,0,"Fernando Tatis",798,123107
2002,"Chris Truby","MON","1B",2,1,7,11,0,0,0,0,2,0,0,2,0,,,,,0,"Chris Truby",799,150067
2002,"Chris Truby","DET","3B",89,83,729,71,180,11,5,4,21,21,0,2,,,,,,0,"Chris Truby",799,150067
2002,"Chris Truby","MON","3B",31,25,238,14,49,5,2,3,4,4,0,0,,,,,,0,"Chris Truby",799,150067
