Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","MIL",37,37,214,0.369,0.8068,0.6622,0.3804,0.1618,0.3315,0.3589,153.52640705803472,0.059,65.62381924807788,0.2999,0.3060796645702306,106.11196914076852,0.7719,107.08898481205709,0.055172413,7.992455341124087,0.0371,0.3155,2.2710280373831777,53.45883180327096,,1.632671923503697,37.448328697718836,2.3651472100448383,54.74939276331159,2.6915544116559786,0.9532710280373832,73.22478256658694,129.25137509169122,102.96098103990609,110.31259232087419,9.717809915542603,8.507780075073242,"Corbin Burnes",19361,669203
"Zack Wheeler","PHI",43,43,284.1,0.3546,0.8331,0.7685,0.4364,0.1198,0.2692,0.2639,112.93869878042206,0.0545,60.783422044722116,0.2093,0.29284750337381915,101.38387849296436,0.7507,104.19893634304655,0.101063829,7.112703587064807,0.0434,0.3,2.8171194373396182,65.63795056067414,,2.7462970451430366,62.12744489062471,3.067245947213599,70.95147192874967,3.414385582006924,1.0480669067755384,80.39301413328614,112.25826769146819,105.7337990507478,108.88387352287661,9.150170087814331,8.895269870758057,"Zack Wheeler",10310,554430
"Jacob deGrom","NYM",27,27,160,0.4155,0.7362,0.604,0.386,0.216,0.3524,0.4223,180.2220549975537,0.049,53.737972336776686,0.3733,0.24749163879598662,85.35505218075701,0.83,115.50462342553367,0.110169491,12.720580267137096,0.0801,0.3526,1.63125,39.680136697501425,,1.6728708386421207,38.85442354583308,1.9731583448126917,45.05676963733814,2.1593061826675664,0.725,55.15236702523924,143.17435244384987,106.2111422983864,117.7176368710535,7.4920501708984375,7.412830114364624,"Jacob deGrom",10954,594798
"Max Scherzer","- - -",42,42,246.2,0.3348,0.7837,0.6907,0.4336,0.1554,0.3101,0.332,141.91841318027954,0.0597,66.18153207310216,0.2723,0.2800718132854578,96.825967823191,0.8271,114.88285208833602,0.12406015,19.08095204706423,0.0814,0.3492,2.809460270493869,65.42371538759772,,3.106950118702058,70.95655774887813,3.3169256660296313,76.88671912032645,3.0908633238513237,1.0054056956457136,76.90251294588663,113.00946557209913,103.9529634233299,106.31592764665426,7.200219988822937,8.187690019607544,"Max Scherzer",3137,453286
"Brandon Woodruff","MIL",43,43,253,0.337,0.7998,0.7409,0.4516,0.1293,0.3012,0.3017,128.93837906900907,0.0609,67.81806549119457,0.2408,0.2633333333333333,91.17143039159805,0.8075,112.06881841359572,0.131067961,11.358338794024837,0.0622,0.327,2.703560573364467,63.020451754994,,3.030013114289793,69.80380331119595,3.1207201456698397,72.2585239727348,3.305270100425129,0.9723331886661679,74.54393440140532,113.60877259566972,107.38126741369865,109.6168914523024,6.792140007019043,8.567360162734985,"Brandon Woodruff",16162,605540
"Nathan Eovaldi","BOS",41,41,230.2,0.3398,0.8427,0.7562,0.4707,0.1265,0.2958,0.2565,111.05935757106802,0.0436,50.77560771503848,0.2129,0.328125,112.65584626963077,0.7289,101.31037116743839,0.103603603,11.947031889150495,0.0679,0.3695,3.7456707898263515,81.34214513692754,,3.0184425964524344,69.66679853810935,3.4486944545544387,80.00593462763437,3.5753158028349143,1.1921984574100077,91.31054163293706,111.22816689590647,107.35138091747139,109.86280138055902,6.611217200756073,5.516889810562134,"Nathan Eovaldi",9132,543135
"Gerrit Cole","NYY",42,42,254.1,0.3535,0.7963,0.6996,0.4243,0.1474,0.3193,0.3323,143.81192675241758,0.0572,66.07894254621601,0.2751,0.2876949740034662,98.79193548041302,0.7989,111.02628306868074,0.150197628,13.578226424594622,0.0959,0.4033,3.1140277635538873,72.8230628739799,,3.199760750075667,73.18853693923462,3.060875342887792,70.77904723171766,3.010356366393837,1.0301455480443416,78.82622436848979,128.41938895691604,104.61313239080951,113.79526946169726,6.592130064964294,6.801940202713013,"Gerrit Cole",13125,543037
"Aaron Nola","PHI",44,44,252,0.3534,0.8234,0.7312,0.4147,0.1299,0.3163,0.3073,131.34233869926965,0.0597,66.25163553495324,0.2476,0.3011456628477905,104.33820022928599,0.6831,94.81101362360779,0.147058823,12.894429047156201,0.0666,0.3746,4.249994853192462,99.28820714010907,,3.3189419625917935,75.34711096210218,3.209647904300482,74.60561320561567,3.2611174207373357,1.1150780147031576,85.54445736918382,109.9464034966755,106.69149041688522,107.10192094763822,6.382929801940918,3.6191599369049072,"Aaron Nola",16149,605400
"Kevin Gausman","SFG",43,43,246.2,0.3482,0.8113,0.7032,0.4505,0.1537,0.3101,0.3023,129.28162477966058,0.0651,72.61400314518622,0.2372,0.2778702163061564,96.30828836761015,0.7726,107.13786645825623,0.12,12.379935524680398,0.0717,0.4029,2.9918915063121503,72.59679738717915,,2.988284219681969,72.68566564166673,3.2065910218515943,74.63250784657825,3.3631965479346637,1.0499998646813644,80.66105649882387,110.3189541171089,103.83237574386372,107.26381128919138,6.379730224609375,6.8244898319244385,"Kevin Gausman",14107,592332
"Luis Castillo","CIN",45,45,257.2,0.3375,0.8163,0.7225,0.4028,0.1371,0.281,0.2566,109.65245610353458,0.0904,100.8491460831822,0.1662,0.3206442166910688,111.06681698600215,0.7111,98.65288271539366,0.143712574,3.674224456036315,0.0453,0.3678,3.772310664191706,83.97121152361109,,3.4513905976528267,76.37615469793676,3.4094946706786384,79.37548570863065,3.8360944035794162,1.327294492956341,101.89221797971715,103.27206880861328,103.70787314127337,101.10678834391986,6.289239883422852,4.765730023384094,"Luis Castillo",15689,622491
