PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Mike Roarke,1011017,194,491,543,94,11,2,6,41,44,45,6,61,2,2,3,12,0,0
Bert Roberge,1011022,125,9,10,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0
Charlie Robertson,1011025,165,327,374,64,4,0,0,19,19,21,,28,0,,26,,1,0
Daryl Robertson,1011028,9,19,22,2,0,0,0,0,2,2,0,10,0,1,0,0,0,0
Don Robertson,1011034,14,6,6,0,0,0,0,2,0,0,,2,0,0,0,0,0,0
Jerry Robertson,1011036,38,56,60,5,0,0,0,3,1,2,0,34,0,0,2,0,0,0
Jim Roberts,1011037,11,7,8,1,0,0,0,0,0,1,,1,0,,0,,0,0
Jim Robertson,1011038,69,155,182,21,8,0,0,10,8,24,0,27,1,0,2,2,0,0
Mike Robertson,1011041,39,58,61,7,3,1,0,3,4,0,0,9,3,0,0,0,1,0
Red Roberts,1011043,9,23,27,4,1,0,1,1,3,4,,2,0,,0,0,0,0
Rich Robertson,1011044,84,86,97,4,2,0,2,5,4,2,0,51,0,0,9,1,0,0
Rich Robertson,1011045,39,9,9,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Bruce Robinson,1011056,38,101,106,19,3,1,0,5,10,4,0,12,0,0,1,3,0,0
Dave Robinson,1011059,22,44,50,8,2,0,2,5,6,6,1,7,0,0,0,2,2,0
Humberto Robinson,1011068,96,38,44,5,1,0,0,2,2,4,0,16,0,1,1,0,0,0
Jeff Robinson,1011072,354,161,180,20,0,0,2,3,10,3,0,60,0,1,15,2,0,0
Jeff Robinson,1011073,8,11,13,1,0,0,0,0,1,0,0,8,0,0,2,0,0,0
Ron Robinson,1011076,201,144,161,20,2,0,0,9,6,1,0,58,0,1,15,2,0,0
Val Robinson,1011077,7,30,31,6,0,0,0,6,4,1,,1,,,,,0,0
Sergio Robles,1011082,16,21,24,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0
Tom Robson,1011083,23,48,54,9,1,0,0,5,4,5,0,6,0,1,0,3,0,0
Armando Roche,1011086,2,1,1,0,0,0,0,0,0,0,,1,0,,0,0,0,0
Les Rock,1011093,2,1,1,0,0,0,0,0,1,0,,0,0,,0,,0,0
Rich Rodas,1011094,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Rodin,1011099,5,6,6,0,0,0,0,0,0,0,,2,0,0,0,0,0,0
Carlos Rodriguez,1011101,85,241,267,49,16,1,1,21,20,14,0,17,1,0,11,6,1,0
Eduardo Rodriguez,1011102,30,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Edwin Rodriguez,1011103,11,22,25,4,1,0,0,3,1,2,0,4,0,0,1,0,0,0
Freddy Rodriguez,1011105,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Frankie Rodriguez,1011106,103,6,6,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0
Liu Rodriguez,1011109,39,93,111,17,2,2,1,8,12,12,0,11,3,0,3,5,0,0
Roberto Rodriguez,1011111,57,21,22,0,0,0,1,2,1,1,0,4,0,0,0,0,0,0
Rosario Rodriguez,1011112,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Rodriguez,1011113,4,8,8,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0
Tony Rodriguez,1011115,27,67,77,14,1,0,1,7,9,4,0,8,1,0,5,3,0,0
Victor Rodriguez,1011116,17,28,28,7,5,0,0,6,2,0,0,3,0,0,0,0,0,0
Ed Roebuck,1011118,452,137,149,22,4,0,2,14,10,4,0,39,0,0,8,2,0,0
Preacher Roe,1011122,333,620,721,64,3,0,1,37,28,38,,215,0,0,63,7,0,0
Mike Roesler,1011123,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oscar Roettger,1011124,36,66,74,13,1,0,0,7,6,6,,5,1,,1,,0,0
Ed Roetz,1011126,16,45,51,6,4,1,0,7,5,4,,6,0,,2,,0,0
Joe Rogalski,1011127,2,2,2,0,0,0,0,0,0,0,,0,0,,0,,0,0
Buck Rogers,1011129,2,3,3,0,0,0,0,0,0,0,,1,0,,0,,0,0
Fraley Rogers,1011131,46,210,211,48,8,1,1,40,30,1,,5,,,,,2,0
Kevin Rogers,1011135,70,12,15,2,0,0,0,0,0,0,0,8,0,0,3,1,0,0
Lee Rogers,1011136,28,7,11,0,0,0,0,1,0,4,,1,0,,0,0,0,0
Tom Rogers,1011139,82,134,141,24,4,1,1,13,5,1,,22,0,,6,,1,0
Clint Rogge,1011140,43,91,109,12,1,2,0,5,11,9,,23,1,,8,,2,0
Garry Roggenburk,1011141,62,20,25,2,0,0,0,1,0,2,0,7,0,0,3,0,0,0
Dave Rohde,1011144,93,146,174,19,4,0,0,11,5,16,3,31,5,1,6,4,0,0
Dan Rohn,1011146,54,72,78,12,3,2,1,5,11,4,0,9,0,1,1,1,1,0
Billy Rohr,1011147,27,11,16,0,0,0,0,0,0,2,0,4,0,0,3,0,0,0
Les Rohr,1011148,5,6,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
Dan Rohrmeier,1011149,7,9,11,3,0,0,0,4,2,2,0,4,0,0,0,0,0,0
Tony Roig,1011151,76,184,209,29,7,3,0,14,11,22,0,45,0,1,2,8,2,0
Mel Rojas,1011153,439,59,65,6,1,0,0,1,3,0,0,32,0,0,6,0,0,0
Minnie Rojas,1011154,157,41,47,2,1,0,0,0,1,2,0,22,0,0,4,0,0,0
Jim Roland,1011156,208,84,93,6,0,0,0,3,1,3,0,36,0,0,6,1,0,0
Nate Rolison,1011158,8,13,16,1,0,0,0,0,2,1,0,4,0,2,0,0,0,0
Bill Roman,1011163,24,35,37,4,0,0,1,2,1,2,0,9,0,0,0,1,0,0
Tom Romano,1011169,7,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Dutch Romberger,1011170,10,2,3,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
Enrique Romo,1011175,238,37,48,7,2,0,1,4,5,2,0,10,0,0,9,0,0,0
John Romonosky,1011176,49,26,27,3,0,2,1,7,1,0,0,7,0,0,1,0,0,0
Vicente Romo,1011177,334,121,143,16,1,0,1,7,4,3,0,24,1,1,17,0,0,0
Marc Ronan,1011178,6,12,12,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Gilberto Rondon,1011180,19,14,16,4,0,0,0,1,1,0,0,4,0,0,2,1,0,0
Jim Rooker,1011183,337,606,667,94,17,4,7,54,56,21,0,229,3,5,32,14,3,0
Pat Rooney,1011187,4,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Charlie Root,1011188,632,1086,1191,132,46,7,11,86,93,44,,329,7,,54,9,1,0
John Roper,1011189,34,62,67,10,1,0,0,4,4,1,0,23,0,0,4,1,0,0
Rafael Roque,1011191,52,30,37,2,0,0,0,0,1,2,0,16,0,0,5,0,0,0
Jose Rosado,1011192,105,9,9,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Luis Rosado,1011193,11,28,32,4,1,0,0,1,3,1,0,4,1,2,0,2,0,0
Mel Rosario,1011196,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Santiago Rosario,1011197,81,85,94,15,3,0,2,8,8,6,0,16,1,2,0,2,0,0
Victor Rosario,1011198,9,7,8,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0
Brian Rose,1011201,52,27,32,1,0,0,0,1,0,1,0,11,0,0,4,1,0,0
Don Rose,1011204,16,10,12,1,0,0,1,1,1,1,0,3,0,0,1,0,0,0
