PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Rickey Henderson,194,3081,10961,13346,2182,510,66,297,2295,1115,2190,61,1694,98,67,30,173,1406,335
Lou Brock,1001458,2616,10332,11238,2247,486,141,149,1610,900,761,124,1730,49,46,47,114,938,307
Brett Butler,1001772,2213,8180,9545,1913,277,131,54,1359,578,1129,23,907,38,51,147,62,558,257
Maury Wills,1014053,1942,7588,8304,1866,177,71,20,1067,458,552,26,684,16,29,119,92,586,208
Juan Pierre,443,1994,7525,8280,1850,255,94,18,1075,517,464,8,479,102,20,167,92,614,203
Bert Campaneris,1001868,2328,8684,9625,1771,313,86,79,1181,646,618,15,1142,64,60,199,106,649,199
Rod Carew,1001942,2469,9315,10550,2404,445,112,92,1424,1015,1018,144,1028,25,64,128,216,353,186
Otis Nixon,1009608,1709,5115,5800,1199,142,27,11,878,318,585,10,694,5,28,67,72,620,186
Omar Moreno,1009167,1382,4992,5481,962,171,87,37,699,386,387,41,885,17,33,52,45,487,182
Cesar Cedeno,1002100,2006,7310,8133,1392,436,60,199,1084,976,664,83,938,56,71,32,167,550,179
Ty Cobb,1002378,3035,11434,13072,3053,724,295,117,2246,1937,1249,,357,94,,295,,892,178
Steve Sax,1011481,1769,6940,7632,1570,278,47,54,913,550,556,47,584,24,37,75,146,444,178
Vince Coleman,1002433,1371,5406,5970,1132,176,89,28,849,346,477,12,960,15,24,48,45,752,176
Eddie Collins,1002451,2826,9949,12037,2643,438,187,47,1821,1300,1499,,286,77,,512,,744,173
Bobby Bonds,1001157,1849,7043,8090,1186,302,66,332,1258,1024,914,75,1757,53,64,16,106,460,169
Eric Young Sr.,716,1730,6119,6996,1279,327,46,79,996,543,660,14,462,89,44,84,135,465,168
Omar Vizquel,411,2968,10586,12013,2264,456,77,80,1445,951,1028,25,1087,49,94,256,207,404,167
Joe Morgan,1009179,2649,9277,11329,1704,449,96,268,1650,1133,1865,76,1015,40,96,51,105,689,162
Bill North,1009638,1169,3900,4621,845,120,31,20,640,230,627,28,665,25,14,55,49,395,162
Kenny Lofton,246,2103,8120,9235,1799,383,116,130,1528,781,945,43,1016,32,65,72,111,622,160
Pete Rose,1011217,3562,14053,15876,3215,746,135,160,2165,1314,1566,167,1143,107,79,56,247,198,149
Ozzie Smith,1012186,2573,9396,10778,1961,402,69,28,1257,793,1072,79,589,33,63,214,167,580,148
Delino DeShields,275,1615,5779,6652,1150,244,74,80,872,561,754,31,1061,20,42,57,99,463,147
Tim Raines,1406,2502,8872,10359,1892,430,113,170,1571,980,1330,148,966,42,76,39,142,807,146
Luis Polonia,1010427,1379,4840,5296,1122,189,70,36,728,405,369,23,543,15,35,37,91,321,145
Sam Rice,1010900,2404,9269,10246,2271,498,184,34,1514,1078,708,,275,56,,213,,351,143
Juan Samuel,1011400,1720,6081,6664,1028,287,102,161,873,703,440,38,1442,74,42,27,81,396,143
Luis Castillo,513,1720,6510,7471,1608,194,59,28,1001,443,800,13,850,12,26,123,120,370,142
Ron LeFlore,1007478,1099,4458,4872,995,172,57,59,731,353,363,15,888,17,20,14,74,455,142
Barry Bonds,1109,2986,9847,12606,1495,601,77,762,2227,1996,2558,688,1539,106,91,4,165,514,141
Lonnie Smith,1012176,1613,5170,5952,1059,273,58,98,909,533,623,19,849,92,46,21,68,370,140
George Burns,1001708,1853,7241,8251,1566,362,108,41,1188,611,872,,565,26,,112,,383,139
Jose Cardenal,1001937,2017,6964,7696,1396,333,46,138,936,775,608,38,807,26,61,37,147,329,139
Dave Collins,1002449,1701,4907,5507,1064,187,52,32,667,373,467,16,661,38,31,64,59,395,139
Tony Fernandez,1004002,2158,7911,8793,1676,414,92,94,1057,844,690,48,784,64,61,67,163,246,138
Harold Reynolds,1010870,1374,4782,5398,929,230,53,21,640,353,480,11,417,27,33,76,69,250,138
Luis Aparicio,1000278,2601,10230,11230,2108,394,92,83,1335,791,736,22,742,27,76,161,184,506,136
Jose Cruz,1002841,2353,7917,8931,1601,391,94,165,1036,1077,898,142,1031,7,82,27,119,317,136
Ben Chapman,1002141,1717,6478,7420,1354,407,107,90,1144,977,824,,556,26,,92,52,287,135
Alfredo Griffin,1005036,1962,6780,7331,1341,245,78,24,759,527,338,37,664,25,51,136,85,191,134
Claudell Washington,1013654,1912,6787,7367,1317,334,69,164,926,824,468,77,1266,36,51,25,141,312,134
Willie Wilson,1014113,2154,7731,8317,1738,281,147,41,1168,585,425,27,1144,62,35,64,90,668,134
Willie Davis,1003088,2429,9174,9822,1846,395,138,182,1217,1053,418,75,977,51,96,83,127,398,131
Paul Molitor,1009040,2683,10835,12167,2366,605,114,234,1782,1307,1094,100,1244,47,109,75,208,504,131
Freddie Patek,1010052,1650,5530,6247,1028,216,55,41,736,490,523,33,787,31,43,119,92,385,131
Minnie Minoso,1008984,1835,6579,7710,1358,336,83,186,1136,1023,814,23,584,192,57,68,185,205,130
Tristram Speaker,1012309,2789,10195,11988,2383,792,222,117,1882,1529,1381,,220,103,,309,,432,129
Garry Templeton,1012909,2079,7721,8208,1591,329,106,70,893,728,375,144,1092,9,46,57,167,242,129
Bobby Abreu,945,2425,8480,10081,1549,574,59,288,1453,1363,1476,115,1840,33,85,7,165,400,128
Jose Reyes,1736,1877,7552,8240,1475,387,131,145,1180,719,589,56,914,11,38,50,82,517,127
George Sisler,1012021,2055,8267,9013,2121,425,164,102,1284,1175,472,,327,48,,226,,375,127
Tony Gwynn,1005166,2440,9288,10232,2378,543,85,135,1383,1138,790,203,434,24,85,45,261,319,125
Craig Biggio,549,2850,10876,12504,2046,668,55,291,1844,1175,1160,68,1753,285,81,101,150,414,124
Enos Cabell,1001804,1688,5952,6304,1268,263,56,60,753,596,259,31,691,23,38,32,133,238,124
Vada Pinson,1010360,2469,9645,10403,1889,485,127,256,1365,1169,574,69,1196,54,78,52,164,305,122
Harry Hooper,1006002,2309,8785,10244,1842,389,160,75,1429,817,1136,,412,76,,247,,375,121
Willie McGee,1008513,2201,7649,8188,1731,350,94,79,1010,856,448,58,1238,15,46,30,157,352,121
Don Baylor,1000700,2292,8198,9401,1403,366,28,338,1236,1276,805,91,1069,267,115,16,196,285,120
Mark McLemore,1088,1832,6192,7239,1247,255,47,53,943,614,875,29,983,15,52,105,134,272,119
Chone Figgins,1580,1282,4701,5360,1017,188,58,35,708,403,540,6,832,10,40,69,74,341,119
Pat Kelly,1006810,1385,4338,5011,847,189,35,76,620,418,588,25,768,29,30,26,97,250,119
Steve Finley,54,2583,9397,10460,1671,449,124,304,1443,1167,844,69,1299,53,75,91,152,320,118
Tom Goodwin,1114,1288,3846,4315,841,125,39,24,636,284,365,3,660,13,18,73,44,369,118
Roy White,1013890,1881,6650,7736,1292,300,51,160,964,758,934,66,709,29,69,53,123,233,118
Chuck Knoblauch,609,1632,6366,7387,1355,322,64,98,1132,615,804,22,730,139,56,20,116,407,117
Ray Lankford,1044,1701,5747,6675,913,356,54,238,968,874,828,68,1550,36,53,10,78,258,117
Ichiro Suzuki,1101,2653,9934,10734,2514,362,96,117,1420,780,647,181,1080,55,48,50,92,509,117
Babe Ruth,1011327,2503,8398,10616,1517,506,136,714,2174,2217,2062,,1330,43,,113,2,123,117
Marquis Grissom,652,2165,8275,8959,1582,386,56,227,1187,967,553,44,1240,31,62,38,171,429,116
Tommy Harper,1005383,1810,6269,7164,1171,256,36,146,972,567,753,30,1080,35,31,76,87,408,116
Carl Yastrzemski,1014326,3308,11988,13991,2262,646,59,452,1816,1844,1845,190,1393,40,105,13,323,168,116
Reggie Sanders,1129,1777,6241,7043,960,341,60,305,1037,983,674,49,1614,71,43,14,121,304,115
Elvis Andrus,8709,2059,7772,8603,1558,380,51,102,1058,775,611,8,1206,57,58,104,197,347,115
Reggie Jackson,1006308,2820,9864,11416,1509,463,49,563,1551,1702,1375,164,2597,96,68,13,183,228,115
Roberto Alomar,860,2379,9073,10400,1930,504,80,210,1508,1134,1032,62,1140,50,97,148,206,474,114
Davey Lopes,1007750,1812,6354,7340,1234,232,50,155,1023,614,833,38,852,31,48,74,126,557,114
Tony Phillips,1010300,2161,7617,9110,1453,360,50,160,1300,819,1319,44,1499,42,63,69,127,177,114
Dave Parker,1010000,2466,9358,10184,1772,526,75,339,1272,1493,683,169,1537,56,86,1,210,154,113
Lenny Randle,1010693,1138,3950,4427,804,145,40,27,488,322,372,27,505,15,28,62,72,156,112
Jim Gilliam,1004724,1956,7119,8321,1449,304,71,65,1163,558,1036,30,416,33,35,98,90,203,111
Charlie Jamieson,1006355,1779,6560,7488,1570,322,80,18,1062,552,748,,345,35,,145,,131,110
Tony Taylor,1012892,2195,7680,8501,1548,298,86,75,1005,598,613,49,1083,78,39,91,167,234,110
Carl Crawford,1201,1716,6655,7178,1363,309,123,136,998,766,377,24,1067,47,48,34,79,480,109
George Case,1002033,1226,5016,5515,1118,233,43,21,785,377,426,,297,21,,52,48,349,109
Dave Concepcion,1002494,2488,8723,9641,1788,389,48,101,993,950,736,93,1186,21,86,74,266,321,109
Andre Dawson,1003091,2627,9926,10768,1735,503,98,438,1373,1591,589,143,1508,111,118,24,217,314,109
Buddy Myer,1009415,1923,7038,8187,1610,353,130,38,1174,850,965,,428,33,,151,12,156,109
Alan Trammell,1013157,2293,8288,9376,1713,412,55,185,1231,1003,850,48,874,37,76,124,156,236,109
Edgar Renteria,1178,2152,8142,9066,1722,436,29,140,1200,923,718,42,1182,31,76,99,241,294,108
Rajai Davis,3708,1448,4244,4607,780,226,43,62,637,387,267,5,844,46,28,22,79,415,108
Luke Appling,1000284,2422,8856,10243,2162,440,102,45,1319,1116,1302,,528,11,,74,129,179,108
Ozzie Guillen,1005125,1993,6686,7133,1392,275,69,28,773,619,239,25,511,7,60,141,114,169,108
Del Pratt,1010512,1836,6826,7609,1444,392,117,43,856,970,513,,360,37,,233,,247,108
Cesar Tovar,1013142,1488,5569,6177,1192,253,55,46,834,435,413,23,410,88,34,73,58,226,108
Julio Franco,87,2527,8677,9731,1952,407,54,173,1285,1194,917,67,1341,38,80,19,310,281,107
Darren Lewis,286,1354,4081,4654,820,137,37,27,607,342,403,1,514,48,19,101,58,247,107
Sammy Sosa,302,2354,8813,9896,1375,379,45,609,1475,1667,929,154,2306,59,78,17,202,234,107
Ryne Sandberg,1011411,2164,8385,9282,1625,403,76,282,1318,1061,761,59,1260,34,71,31,139,344,107
Frank Taveras,1012852,1149,4043,4399,839,144,44,2,503,214,249,9,474,24,16,67,65,300,106
Ken Williams,1014012,1397,4862,5616,994,285,77,196,860,913,566,,287,28,,160,,154,106
Jimmy Rollins,971,2275,9294,10240,1598,511,115,231,1421,936,813,52,1264,38,53,42,136,470,105
Larry Bowa,1001243,2247,8420,9108,1815,262,99,15,987,525,474,45,569,17,42,150,120,318,105
Don Buford,1001636,1286,4553,5347,909,157,44,93,718,418,672,57,575,41,34,47,34,200,105
Phil Garner,1004541,1860,6136,6861,1104,299,82,109,780,738,564,74,842,34,59,67,131,225,105
Lance Johnson,1006482,1447,5379,5800,1239,175,117,34,767,486,352,29,384,7,27,35,103,327,105
Johnny Mostil,1009255,972,3507,4096,740,209,82,23,618,376,415,,336,70,,104,,176,105
Robin Yount,1014396,2856,11008,12249,2182,583,126,251,1632,1406,966,95,1350,48,123,104,217,271,105
Gary Sheffield,114,2576,9217,10947,1686,467,27,509,1636,1676,1475,130,1171,135,111,9,235,253,104
Scott Podsednik,1095,1079,3906,4346,835,178,41,42,563,312,333,7,630,25,24,57,67,309,104
Carney Lansford,1007331,1862,7158,7905,1551,332,40,151,1007,874,553,45,719,64,77,53,166,224,104
Gary Pettis,1010249,1183,3629,4237,676,109,49,21,568,259,521,3,958,9,13,65,55,354,104
Johnny Damon,185,2490,9736,10917,1903,522,109,235,1668,1139,1003,38,1257,50,71,57,94,408,103
Willie Mays,1008315,2992,10881,12493,1960,523,140,660,2062,1903,1464,192,1526,44,91,13,251,338,103
Ron Gant,1032,1832,6449,7320,978,302,50,321,1080,1008,770,38,1411,32,57,12,98,243,102
Dee Strange-Gordon,8203,1025,3906,4162,920,125,55,18,538,236,168,6,618,32,26,29,46,336,102
Bob Meusel,1008817,1407,5475,6028,1074,368,95,156,826,1068,375,,619,21,,157,,142,102
Lou Gehrig,1004598,2164,8001,9660,1531,534,163,493,1888,1995,1508,,790,45,,106,2,102,101
Jimmy Wynn,1014313,1920,6653,8010,1050,285,39,291,1105,964,1224,84,1427,27,74,32,117,225,101
Jose Offerman,205,1651,5681,6582,1170,252,72,57,840,537,772,34,914,18,38,73,100,172,100
Royce Clayton,226,2108,7379,8164,1376,363,55,110,935,723,565,34,1415,45,62,113,218,231,100
Brady Anderson,364,1834,6499,7737,1046,338,67,210,1062,761,960,59,1190,154,50,74,65,315,100
Bobby Tolan,1013100,1282,4238,4664,828,173,34,86,572,497,258,27,587,65,39,64,91,193,100
Torii Hunter,731,2372,8857,9692,1562,498,39,353,1296,1391,661,52,1741,97,71,6,262,195,99
Terry Puhl,1010562,1531,4855,5480,1017,226,56,62,676,435,505,49,507,26,36,57,59,217,99
Jerry Remy,1010828,1154,4455,4963,1041,140,38,7,605,329,356,10,404,4,32,116,83,208,99
Darryl Strawberry,1012606,1583,5418,6326,772,256,38,335,898,1000,816,131,1352,38,53,1,64,221,99
Chad Curtis,1002898,1204,4017,4650,749,195,16,101,648,461,510,11,676,40,49,34,102,212,98
Chili Davis,1003041,2436,8673,9997,1576,424,30,350,1240,1372,1194,188,1698,15,94,20,232,142,98
Devon White,1013862,1941,7344,8080,1277,378,71,208,1125,846,541,32,1526,87,47,61,98,346,98
Mookie Wilson,1014096,1403,5094,5442,1032,227,71,67,731,438,282,36,866,23,20,22,66,327,98
Ray Durham,230,1975,7408,8423,1343,440,79,192,1249,875,820,34,1201,72,68,55,151,273,97
Starling Marte,9241,1338,5123,5608,1007,264,52,147,794,593,293,17,1118,154,20,18,106,338,97
George Brett,1001400,2707,10349,11625,2035,665,137,317,1583,1596,1096,228,907,33,120,26,236,201,97
Von Hayes,1005531,1495,5249,6052,941,282,36,143,767,696,712,82,804,22,50,19,100,253,97
Derek Jeter,826,2747,11195,12602,2595,544,66,260,1923,1311,1082,39,1840,170,58,97,287,358,96
Greg Gagne,1004427,1798,5673,6209,983,296,50,111,712,604,367,20,1121,40,38,89,111,108,96
Dave Winfield,1014127,2973,11003,12358,2017,540,88,465,1669,1833,1216,172,1686,25,95,19,319,223,96
Bip Roberts,1011023,1202,4147,4631,956,203,31,30,663,352,396,19,548,30,31,27,59,264,95
Jerry Royster,1011270,1428,4208,4732,811,165,33,40,552,352,411,20,534,11,33,69,90,189,95
Rafael Furcal,88,1614,6477,7237,1324,311,69,113,1063,587,643,24,910,22,39,55,84,314,94
Vladimir Guerrero,778,2147,8155,9059,1618,477,46,449,1328,1496,737,250,985,103,64,0,278,181,94
Michael Bourn,6387,1361,4784,5323,976,191,69,36,678,361,445,13,1124,19,23,52,34,341,94
Jack Fournier,1004264,1530,5208,6033,1130,252,113,136,822,859,587,,408,89,,149,,145,94
Toby Harrah,1005384,2155,7402,8767,1412,307,40,195,1115,918,1154,51,868,63,72,76,157,238,94
Dave Martinez,1008160,1919,5795,6480,1198,238,72,91,795,580,567,47,893,28,37,53,84,183,94
Willie Randolph,1010694,2202,8018,9461,1775,316,65,54,1239,687,1243,37,675,37,64,99,219,271,94
Hanley Ramirez,8001,1668,6349,7127,1156,375,32,271,1049,917,660,65,1234,71,36,11,137,281,93
Paul Blair,1001031,1947,6042,6673,1042,282,55,134,776,620,449,23,877,23,51,108,126,171,93
Bill Doran,1003406,1453,5131,5922,1023,220,39,84,727,497,709,52,600,10,38,34,79,209,93
Dan Gladden,1004750,1197,4501,4962,898,203,40,74,663,446,337,18,625,42,33,49,98,222,93
Rabbit Maranville,1008099,2670,10078,11256,2020,380,177,28,1255,884,839,,756,39,,300,21,291,93
Amos Otis,1009893,1998,7299,8247,1387,374,66,193,1092,1007,757,53,1009,33,103,54,157,341,93
Burt Shotton,1011933,1387,4945,5742,1110,154,65,9,746,290,713,,380,22,,62,,293,93
Raul Mondesi,1314,1525,5814,6369,950,319,49,271,909,860,475,50,1130,41,37,2,93,229,92
B.J. Upton,5015,1469,5175,5858,802,262,32,164,723,586,589,23,1561,24,44,22,98,300,92
Richie Ashburn,1000335,2189,8365,9736,2119,317,109,29,1322,586,1198,25,571,43,18,112,83,234,92
Al Bumbry,1001649,1496,5053,5619,1096,220,52,54,778,402,471,30,709,21,30,44,74,254,92
Max Carey,1001944,2476,9363,10770,2017,419,159,70,1545,800,1040,,695,77,,290,,738,92
Joe Judge,1006644,2171,7898,9171,1689,433,159,71,1184,1034,965,,478,51,,257,3,213,92
Garry Maddox,1007948,1749,6331,6777,1286,337,62,117,777,754,323,60,781,36,60,25,98,248,92
Lloyd Moseby,1009238,1588,5815,6574,986,273,66,169,869,737,616,46,1135,58,45,40,105,280,92
Edd Roush,1011247,1967,7363,8156,1787,339,182,68,1099,981,484,,260,53,,256,,268,92
Derrel Thomas,1012971,1597,4677,5268,912,154,54,43,585,370,456,32,593,25,29,81,73,140,92
Bucky Harris,1005402,1263,4736,5556,1000,224,64,9,722,506,472,,310,99,,249,,167,91
Marty McManus,1008637,1831,6660,7563,1317,401,88,120,1008,999,675,,558,30,,198,13,126,91
Rick Monday,1009051,1986,6136,7162,1066,248,64,241,950,775,924,107,1513,24,32,46,71,98,91
Mike Schmidt,1011586,2404,8353,10062,1219,408,59,548,1506,1595,1507,201,1883,79,107,16,156,174,91
Damaso Garcia,1004498,1032,3914,4124,862,183,27,36,490,323,130,11,322,27,24,29,82,203,90
Joe Kuhel,1007202,2104,7984,9095,1558,412,111,131,1236,1049,980,,612,39,,92,74,178,90
Bill Madlock,1007957,1806,6594,7372,1463,348,34,163,920,860,605,121,510,68,69,36,190,174,90
Lee Mazzilli,1008318,1475,4124,4831,760,191,24,93,571,460,642,41,627,20,33,12,63,197,90
Mickey Rivers,1011005,1468,5629,6026,1281,247,71,61,785,499,265,20,471,22,35,75,44,267,90
Mickey Vernon,1013416,2409,8731,9834,1713,490,120,172,1196,1311,955,22,869,49,19,80,183,137,90
Jason Kendall,993,2085,7627,8702,1691,394,35,75,1030,744,721,51,686,254,63,36,176,189,89
Bill Bruton,1001600,1610,6056,6668,1214,241,102,94,937,545,482,32,793,29,29,72,73,207,89
Charlie Gehringer,1004596,2323,8860,10237,1935,574,146,184,1774,1427,1186,,372,50,,141,27,181,89
Goose Goslin,1004893,2287,8656,9822,1814,500,173,248,1483,1609,949,,585,55,,162,,175,89
Gene Richards,1010907,1026,3549,3958,812,127,63,26,502,255,356,39,436,20,13,20,56,247,89
Jose Canseco,1001918,1887,7057,8129,1061,340,14,462,1186,1407,906,64,1942,84,81,1,178,200,88
Luis Gonzalez,55,2591,9157,10531,1573,596,68,354,1412,1439,1155,150,1218,111,98,10,212,128,87
Bernie Williams,857,2076,7870,9053,1545,449,55,287,1366,1257,1069,97,1212,39,63,12,223,147,87
Andrew McCutchen,9847,2007,7425,8641,1289,411,49,299,1173,1045,1058,68,1642,85,70,3,126,216,87
Ossie Bluege,1001090,1867,6440,7452,1365,276,67,43,883,848,723,,515,71,,218,2,140,87
Ivan De Jesus,1003150,1371,4602,5193,923,175,48,21,595,324,466,48,664,16,22,87,65,194,87
Billy Hatcher,1005486,1233,4339,4752,852,210,30,54,586,399,267,23,476,55,38,53,76,218,87
Lee Lacy,1007243,1523,4549,5004,963,207,42,91,650,458,372,26,657,9,33,41,87,185,86
Brian McRae,1008686,1354,5114,5737,911,264,58,103,734,532,488,20,824,57,32,46,87,196,86
Reggie Smith,1012201,1987,7033,8050,1286,363,57,314,1123,1092,890,115,1030,33,86,8,149,137,86
Amos Strunk,1012634,1512,4999,5803,1094,213,96,15,696,530,573,,331,12,,219,,185,86
Lu Blue,1001093,1615,5904,7207,1224,319,109,44,1151,695,1092,,436,43,,168,0,151,85
Don Kessinger,1006877,2078,7651,8530,1583,254,80,14,899,527,684,69,759,22,40,132,132,100,85
Billy Southworth,1012291,1191,4359,4927,980,173,91,52,661,561,402,,148,14,,152,,138,85
B.J. Surhoff,117,2313,8258,9106,1656,440,42,188,1062,1153,640,81,839,33,104,71,168,141,84
Ellis Burks,372,2000,7232,8177,1290,402,63,352,1253,1206,793,33,1340,60,62,29,171,181,84
Brandon Phillips,791,1902,7378,7992,1415,368,35,211,1005,951,420,34,1092,92,62,39,224,209,84
Alfonso Soriano,847,1975,7750,8395,1171,481,31,412,1152,1159,496,68,1803,86,54,9,123,289,84
Randy Winn,1235,1717,6186,6878,1223,367,59,110,863,662,526,23,1010,53,55,58,98,215,84
Pat Duncan,1003555,727,2695,3007,617,137,50,23,361,374,184,,164,15,,113,,55,84
Ruppert Jones,1006588,1331,4415,5041,703,215,38,147,643,579,534,39,817,12,34,43,87,143,84
Willie Kamm,1006683,1693,5851,6935,1181,348,85,29,802,826,824,,405,22,,238,,126,84
Roberto Kelly,1006815,1337,4797,5243,995,241,30,124,687,585,317,16,862,49,41,22,113,235,84
Bobby Veach,1013388,1821,6656,7557,1459,393,147,64,953,1166,571,,367,59,,271,,195,84
Mike Cameron,1070,1955,6839,7884,980,383,59,278,1064,968,867,19,1901,87,60,31,114,297,83
Jose Altuve,5417,1668,6665,7360,1407,400,31,209,1062,747,553,43,911,69,47,26,180,293,83
Bob Bailey,1000420,1931,6082,7043,1098,234,43,189,772,773,852,67,1126,17,52,40,195,85,83
Shano Collins,1002466,1799,6390,7036,1222,310,133,22,747,709,331,,405,57,,258,,225,83
Ralph Garr,1004554,1317,5108,5456,1211,212,64,75,717,408,246,46,445,19,21,62,72,172,83
Ken Griffey,1005044,2097,7229,8049,1550,364,77,152,1129,859,719,51,898,14,55,31,106,200,83
Jimmy Johnston,1006466,1377,5070,5628,1211,185,75,22,754,410,391,,246,20,,147,,169,83
Gary Redus,1010758,1159,3513,4066,562,183,51,90,591,352,481,21,688,17,40,14,38,322,83
Quilvio Veras,1013404,767,2780,3293,574,129,15,32,469,239,427,4,462,38,19,29,44,183,83
Frank White,1013872,2324,7859,8468,1381,407,58,160,912,886,412,27,1035,30,65,101,157,178,83
Ross Youngs,1014390,1211,4627,5333,1120,236,93,42,812,592,550,,390,37,,119,,153,83
Shawon Dunston,1401,1814,5927,6276,1093,292,62,150,736,668,203,44,1000,41,49,56,98,212,82
Bobby Grich,1005033,2008,6890,8220,1242,320,47,224,1033,864,1087,50,1278,86,50,107,159,104,82
Bing Miller,1008871,1820,6212,6885,1333,389,96,116,946,992,383,,340,80,,210,,127,82
Cy Williams,1013981,2002,6780,7720,1350,306,74,251,1024,1005,690,,721,86,,164,,115,82
Andres Galarraga,1390,2257,8096,8916,1458,444,32,399,1195,1425,583,106,2003,178,58,1,179,128,81
Tommie Agee,1000080,1129,3912,4324,672,170,27,130,558,433,342,26,918,34,15,21,99,167,81
Pete Fox,1004283,1461,5636,6168,1224,314,75,65,895,694,392,,471,33,,107,48,158,81
Wally Moses,1009244,2012,7356,8253,1504,435,110,89,1124,679,821,,457,21,,55,58,174,81
Sandy Alomar Sr.,1000176,1481,4760,5160,1010,126,19,13,558,282,302,17,483,3,18,77,58,227,80
Matty Alou,1000179,1667,5789,6220,1460,236,50,31,780,427,311,38,377,36,29,55,101,156,80
Orlando Cepeda,1002103,2124,7927,8695,1528,417,27,379,1131,1365,588,154,1169,102,74,4,218,142,80
Nellie Fox,1004281,2367,9232,10349,2161,355,112,35,1279,790,719,24,216,142,48,208,175,76,80
Charlie Hollocher,1005964,760,2936,3390,700,145,35,14,411,241,277,,94,26,,151,,99,80
Roy Johnson,1006498,1155,4359,4886,876,275,83,58,717,556,489,,380,12,,26,6,135,80
Jerry Mumphrey,1009314,1585,4993,5545,1100,217,55,70,660,575,478,49,688,4,41,29,108,174,80
Babe Pinelli,1010355,774,2617,2964,584,101,33,5,327,298,182,,162,20,,145,,71,80
Coco Crisp,1572,1586,5930,6627,1077,308,57,130,877,639,561,18,865,5,51,80,91,309,79
Buddy Bell,1000799,2405,8995,10009,1832,425,56,201,1151,1106,836,84,776,38,80,60,257,55,79
Tony Lazzeri,1007422,1740,6297,7303,1213,334,115,178,986,1191,869,,864,21,,116,8,148,79
Rick Manning,1008068,1555,5248,5832,1061,189,43,56,664,458,471,33,616,9,43,61,104,168,79
Elmer Valo,1013335,1806,5029,6091,1061,228,73,58,768,601,942,12,284,38,17,65,111,110,79
Jeff Bagwell,547,2150,7797,9431,1345,488,32,449,1517,1529,1401,155,1558,128,102,3,222,202,78
Julio Cruz,1002842,1156,3859,4438,753,113,27,23,557,279,478,3,508,14,30,56,64,343,78
Jake Daubert,1003005,2014,7673,8742,1855,250,165,56,1117,722,623,,489,54,,392,,251,78
Miguel Dilone,1003309,800,2000,2182,432,67,25,6,314,129,142,2,197,6,4,30,37,267,78
Jim Gantner,1004483,1801,6189,6787,1349,262,38,47,726,568,383,40,501,52,52,106,135,137,78
Kirk Gibson,1004669,1635,5798,6656,984,260,54,255,985,870,718,72,1285,61,56,23,73,284,78
John Lowenstein,1007790,1368,3476,3988,610,137,18,116,510,441,446,30,596,9,30,27,58,128,78
Hal McRae,1008687,2084,7218,8059,1350,484,66,191,940,1097,648,69,779,79,85,28,186,109,78
Clyde Milan,1008856,1982,7359,8312,1738,240,105,17,1004,617,685,,197,80,,188,,495,78
Barry Larkin,335,2180,7937,9057,1625,441,76,198,1329,960,939,66,817,55,67,59,178,379,77
Alex Rios,2090,1691,6419,6929,1172,374,63,169,885,794,400,24,1117,45,61,2,193,253,77
Ken Boyer,1001283,2034,7455,8268,1475,318,68,282,1104,1141,713,97,1017,20,63,17,185,105,77
Howard Johnson,1006462,1531,4940,5715,732,247,22,228,760,760,692,105,1053,17,57,9,61,231,77
Frank Robinson,1011066,2808,10006,11743,1757,528,72,586,1829,1812,1420,218,1532,198,102,17,269,204,77
Larry Walker,455,1988,6907,8030,1244,471,62,383,1355,1311,913,117,1231,138,65,7,153,230,76
Alex Rodriguez,1274,2784,10566,12207,1840,548,31,696,2021,2086,1338,97,2287,176,111,16,261,329,76
Juan Beniquez,1000833,1500,4651,5151,975,190,30,79,610,476,349,11,551,31,32,87,146,104,76
Kirby Puckett,1010557,1783,7244,7831,1626,414,57,207,1071,1085,450,85,965,56,58,23,188,134,76
Dave Bancroft,1000503,1913,7182,8244,1575,320,77,32,1048,591,827,,487,23,,212,,145,75
Mark Belanger,1000786,2016,5784,6602,1088,175,33,20,676,389,576,22,839,42,45,155,83,167,75
Donie Bush,1001749,1946,7210,8734,1535,186,74,9,1280,436,1158,,346,29,,337,,404,75
Al Cowens,1002689,1584,5534,6038,1042,276,68,108,704,717,389,28,659,34,53,28,141,120,75
Cliff Heathcote,1005559,1415,4443,4966,919,206,55,42,643,448,367,,325,22,,134,,191,75
Chet Lemon,1007518,1988,6868,7874,1203,396,61,215,973,884,749,46,1025,151,54,51,173,58,75
Bobby Murcer,1009338,1908,6730,7718,1280,285,45,252,972,1043,862,96,841,27,81,18,124,127,75
Gerald Perry,1010211,1193,3144,3527,612,150,11,59,383,396,328,34,374,11,37,7,91,142,75
Rafael Ramirez,1010673,1539,5494,5887,1124,224,31,53,562,484,264,37,621,21,35,73,113,112,75
Milt Stock,1012551,1628,6249,6951,1456,270,58,22,839,696,455,,321,13,,234,,155,75
Lou Whitaker,1013846,2390,8570,9967,1640,420,65,244,1386,1084,1197,79,1099,20,91,89,143,143,75
Tony Womack,78,1303,4963,5389,1068,190,59,36,739,368,308,9,649,28,33,57,53,363,74
Carlos Gomez,4881,1461,4724,5227,767,236,41,145,675,546,319,9,1259,112,27,45,76,268,74
Ian Kinsler,6195,1888,7423,8299,1285,416,41,257,1243,909,693,11,1046,92,59,32,161,243,74
