Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Chris Bassitt","NYM",30,30,181.2,745,0.3043,0.8246,0.7829,0.4591,0.1005,0.2921,0.2242,99.11001089748689,0.0658,79.32773248166289,0.1584,0.28169014084507044,96.5082234674453,0.7716,106.7835246553156,0.109195402,10.831585012536692,0.0659,0.3275,3.4183422115521025,88.62932768884656,3.46,3.6573829157597784,93.01552091193712,3.715650258432054,93.17613236445865,3.745442351470406,1.1449519806808974,89.5088122961436,97.53016313779939,102.36671294689344,101.93641096841368,2.7765400409698486,3.7377500534057617,"Chris Bassitt",12304,605135
"Jon Gray","TEX",24,24,127.1,521,0.348,0.8472,0.7598,0.4287,0.1164,0.2929,0.2572,115.76565047182781,0.0749,93.2731035592705,0.1823,0.27076923076923076,94.44866985073226,0.7052,96.7571283727286,0.141666666,11.126961767146017,0.0614,0.3801,3.9581255391394654,99.59051038674968,3.59,3.8035310941819653,93.75379937745669,3.463045930602026,87.60338233884077,3.5556902193976647,1.1308930111827045,90.28148897793781,100.27793404461684,101.95402521823475,101.93355965082444,1.8979599475860596,1.5727399587631226,"Jon Gray",14916,592351
"Jackson Stephens","ATL",1,1,3,15,0.2333,0.8889,0.84,0.4643,0.0714,0.2143,0,0,0.1333,160.8140425128089,-0.1333,0.38461538461538464,131.77084358055032,0.5714,79.08082737040527,0,16.911307701697716,0,0.3077,9,219.355328260791,,5.112429809570314,129.56632333210987,6.592804831266404,164.15459891981243,7.8863236703571795,2.3333333333333335,182.41279886119244,86.68214285714286,107.04285714285713,101.85357142857141,-0.008542500436306,-0.10081499814987183,"Jackson Stephens",14420,623451
"Shane Bieber","CLE",31,31,200,791,0.348,0.8817,0.7205,0.4303,0.1384,0.3137,0.2503,112.66819797101459,0.0455,56.70946635253156,0.2048,0.28677839851024206,100.03292547039845,0.7576,103.93896500075408,0.104046242,9.953836115056818,0.0721,0.4288,2.88,75.75759659593398,3.51,2.8724298095703125,73.50766374583984,2.982954203337431,75.24027181259602,3.212911900128596,1.04,83.02531504625792,98.30246956521741,102.80699130434782,101.83457391304349,4.754509925842285,5.0305399894714355,"Shane Bieber",19427,669456
"Louie Varland","MIN",5,5,26,106,0.3209,0.9197,0.8301,0.4769,0.0852,0.2628,0.1981,89.17149971442542,0.0566,70.53016907778483,0.1415,0.2972972972972973,103.70208682935132,0.8029,110.16012940898226,0.125,14.826923076923077,0.0641,0.4103,3.8076923076923075,99.34731838645614,4.56,4.304737501878005,110.77504677911338,4.126737528580886,104.6944758011333,4.1393214379390395,1.2307692307692308,98.25481070563067,95.78150851581509,103.64720194647202,101.81751824817518,0.20966799557209015,0.446603000164032,"Louie Varland",27691,686973
"Dylan Bundy","MIN",29,29,140,595,0.3747,0.8871,0.8117,0.4564,0.0972,0.2665,0.158,71.10882945569355,0.0471,58.63684639523146,0.1109,0.28475336322869954,99.32656054038354,0.6941,95.22602206658335,0.112149532,18.634979379023605,0.0894,0.383,4.885714285714286,127.47422151405026,4.31,4.6624298095703125,120.11234715463898,4.6967173427343365,119.37234471642891,4.652994312194732,1.2785714285714285,102.07095737142973,91.05089408528193,105.87368179734068,101.77441540577718,0.6737149953842163,0.2976990044116974,"Dylan Bundy",12917,605164
"Merrill Kelly","ARI",33,33,200.1,804,0.3288,0.8687,0.7992,0.4203,0.097,0.267,0.2201,97.33623493095786,0.0759,91.50798991365703,0.1443,0.26887661141804786,92.11825455465357,0.7627,105.55279926726664,0.099056603,14.03611524842626,0.0833,0.3635,3.369390090945838,83.11094733467709,3.62,3.651532224121647,94.71189909730091,3.8553903309615465,96.62347445658207,4.011706307189697,1.1381050973861497,88.9735440910275,95.87671232876716,104.87335290280492,101.75554468362682,3.177309989929199,4.9228901863098145,"Merrill Kelly",11156,518876
"Austin Voth","BAL",17,17,76.1,318,0.3135,0.8427,0.7604,0.4213,0.1156,0.2705,0.2107,94.83318209308614,0.066,82.28519704974349,0.1447,0.28440366972477066,99.20458181256542,0.8131,111.55779211572539,0.08737864,17.939822048611113,0.0793,0.37,3.0655036132362925,80.79311314030987,,3.8329541631087576,98.77066254847769,4.297739889521699,109.09805321873564,4.186051671867343,1.205240736827944,96.21681911704239,91.52849117174956,103.82913322632422,101.52616372391653,1.0853500366210938,1.774839997291565,"Austin Voth",15047,608723
"Pablo López","MIA",32,32,180,736,0.3522,0.8238,0.7427,0.4038,0.1268,0.2808,0.2364,104.52706598187113,0.072,86.85269233275909,0.1644,0.2833333333333333,97.07118810433872,0.7423,102.72960071922968,0.126506024,11.023674777233936,0.0898,0.3513,3.75,92.28977983770537,3.75,3.7124298095703128,94.63180204387467,3.5609978851344852,89.36090866759837,3.709001716241546,1.1666666666666667,91.2063994305962,95.00399724328044,103.33483804272922,101.50120606478289,2.852950096130371,3.495850086212158,"Pablo Lopez",17085,641154
"Freddy Peralta","MIL",17,17,76.1,308,0.3148,0.8092,0.7224,0.3859,0.1221,0.2957,0.2695,119.14743633811217,0.0844,101.81408511043215,0.1851,0.24083769633507854,82.51200467138123,0.726,100.47598275995493,0.060975609,16.713969122503222,0.0306,0.3061,3.1834075983607657,78.52263960653434,,2.9290236104877994,73.33761528241548,3.667767428145402,91.99487853118659,3.5871555574129217,1.0087340949538228,78.85971838595943,106.21476154428464,99.4418622255867,101.35026495079488,2.066809892654419,2.0467700958251953,"Freddy Peralta",18679,642547
