Rk,Player,WAR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos
118,Barry Bonds,9.2,2003,38,SFG,NL,130,550,390,111,133,65,22,1,45,90,7,0,148,58,0.341,0.529,0.749,1.278,231,292,7,10,0,2,61,9.2,7.5,8.7,-0.1,77,0,1,1,5,*7/DH
119,Norm Cash,9.2,1961,27,DET,AL,159,673,535,119,193,122,22,8,41,132,11,5,124,85,0.361,0.487,0.662,1.148,201,354,16,9,2,2,19,9.2,7.1,8.5,-0.2,76,0,-1,-2,9,*3/H
120,Stan Musial,9.2,1949,28,STL,NL,157,722,612,128,207,117,41,13,36,123,3,4,107,38,0.338,0.438,0.624,1.062,177,382,12,2,0,,15,9.2,6.4,8.9,-0.4,67,1,1,2,3,*98/73
121,Joe Jackson,9.2,1911,23,CLE,AL,147,641,571,126,233,162,45,19,7,83,41,,56,42,0.408,0.468,0.59,1.058,193,337,,8,6,,,9.2,6.8,8.6,-0.1,70,0,-1,-1,5,*98
122,Scott Rolen,9.2,2004,29,STL,NL,142,593,500,109,157,87,32,4,34,124,4,3,72,92,0.314,0.409,0.598,1.007,158,299,8,13,1,7,5,9.2,7.4,6.2,3.3,40,0,2,2,30,*5
123,Ichiro Suzuki,9.2,2004,30,SEA,AL,161,762,704,101,262,225,24,5,8,60,36,11,49,63,0.372,0.414,0.455,0.869,130,320,6,4,2,3,19,9.2,6.7,6.1,2.5,36,6,4,9,30,*9/DH
124,Jason Giambi,9.2,2001,30,OAK,AL,154,671,520,109,178,91,47,2,38,120,2,0,129,83,0.342,0.477,0.66,1.137,199,343,17,13,0,9,24,9.2,6.8,8.7,-0.4,78,-2,0,-2,4,*3D/H
125,Willie Mays,9.2,1955,24,NYG,NL,152,670,580,123,185,103,18,13,51,127,24,4,79,60,0.319,0.4,0.659,1.059,174,382,12,4,0,7,13,9.2,6.7,8.8,0.4,59,0,5,6,7,*8
126,Duke Snider,9.1,1953,26,BRO,NL,153,680,590,132,198,114,38,4,42,126,16,7,82,90,0.336,0.419,0.627,1.046,165,370,10,3,5,,12,9.1,6.7,8.6,0.6,61,2,2,4,8,*8/H
127,Tris Speaker,9.1,1923,35,CLE,AL,150,695,574,133,218,131,59,11,17,130,8,9,93,15,0.38,0.469,0.61,1.079,182,350,,4,22,,,9.1,6.5,9.3,-0.5,74,0,0,0,-1,*8
128,Henry Aaron,9.1,1963,29,MLN,NL,161,714,631,121,201,124,29,4,44,130,31,5,78,94,0.319,0.391,0.586,0.977,179,370,11,0,0,5,18,9.1,6.4,9.6,-1.3,61,0,7,7,-5,*9
129,Ken Griffey Jr.,9.1,1997,27,SEA,AL,157,704,608,125,185,92,34,3,56,147,15,4,76,121,0.304,0.382,0.646,1.028,165,393,12,8,0,12,23,9.1,6.7,7.6,1.9,49,-1,3,2,15,*8/D7
130,Babe Ruth,9.1,1919,24,BOS,AL,130,543,432,103,139,64,34,12,29,113,7,,101,58,0.322,0.456,0.657,1.114,217,284,,6,3,,,9.1,7.4,8.3,0.2,67,0,0,0,7,*71/38H
131,Wade Boggs,9.1,1985,27,BOS,AL,161,758,653,107,240,187,42,3,8,78,2,1,96,61,0.368,0.45,0.478,0.928,151,312,20,4,3,2,5,9.1,6.9,8.3,1.2,55,0,2,3,8,*5/H
132,Eddie Collins,9.1,1914,27,PHA,AL,152,659,526,122,181,142,23,14,2,85,58,30,97,31,0.344,0.452,0.452,0.904,176,238,,6,28,,,9.1,6.4,9.1,0,52,0,4,4,1,*4
133,Chase Utley,9,2008,29,PHI,NL,159,707,607,113,177,99,41,4,33,104,14,2,64,104,0.292,0.38,0.535,0.915,136,325,9,27,1,8,14,9,7,6,3.5,30,2,3,6,31,*4/3
134,Barry Bonds,9,1992,27,PIT,NL,140,612,473,109,147,72,36,5,34,103,39,8,127,69,0.311,0.456,0.624,1.08,204,295,9,5,0,7,32,9,7.3,8.3,0,61,1,4,4,6,*7/H
135,Darrell Evans,9,1973,26,ATL,NL,161,733,595,114,167,93,25,8,41,104,6,3,124,104,0.281,0.403,0.556,0.959,156,331,9,3,3,8,8,9,6.9,7.1,2.2,44,0,0,0,18,*53/H
136,Honus Wagner,9,1907,33,PIT,NL,142,584,515,98,180,122,38,14,6,82,61,,46,40,0.35,0.408,0.513,0.921,187,264,,5,14,,,9,7,9.8,0.5,47,0,8,8,-5,*6/3
137,Ted Williams,9,1949,30,BOS,AL,155,730,566,150,194,109,39,3,43,159,1,1,162,48,0.343,0.49,0.65,1.141,191,368,22,2,0,,11,9,7.1,9.1,-0.8,81,0,0,0,-1,*7
138,Jimmie Foxx,9,1933,25,PHA,AL,149,670,573,125,204,110,37,9,48,163,2,2,96,93,0.356,0.449,0.703,1.153,201,403,,1,0,,9,9,6.6,9,-0.6,80,-1,0,-1,0,*3/6
139,Willie Mays,9,1966,35,SFG,NL,152,629,552,99,159,89,29,4,37,103,5,1,70,81,0.288,0.368,0.556,0.924,149,307,13,2,1,4,11,9,6.7,6.8,2.1,40,0,2,3,18,*8/9H7
140,Roberto Clemente,9,1967,32,PIT,NL,147,632,585,103,209,150,26,10,23,110,9,1,41,103,0.357,0.4,0.554,0.954,171,324,15,3,0,3,17,9,6.7,8.3,-0.1,54,1,5,6,4,*9/H8
141,Eddie Collins,9,1913,26,PHA,AL,148,654,534,125,184,145,23,13,3,73,55,,85,37,0.345,0.441,0.453,0.894,164,242,,7,26,,,9,6.5,7.8,1.2,46,0,2,2,11,*4
142,Rogers Hornsby,8.9,1928,32,BSN,NL,140,621,486,99,188,118,42,7,21,94,5,3,107,41,0.387,0.498,0.632,1.13,202,307,,1,25,,9,8.9,6.9,10.1,-0.7,79,0,1,1,-11,*4
143,Lenny Dykstra,8.9,1990,27,PHI,NL,149,691,590,106,192,145,35,3,9,60,33,5,89,48,0.325,0.418,0.441,0.859,138,260,5,7,2,3,14,8.9,7,5.9,3.2,29,0,6,6,25,*8/H
144,Stan Musial,8.9,1944,23,STL,NL,146,668,568,112,197,120,51,14,12,94,7,7,90,28,0.347,0.44,0.549,0.99,174,312,7,5,4,,9,8.9,6.9,7.4,0.9,57,3,-2,1,14,*98
145,Ron Santo,8.9,1964,24,CHC,NL,161,686,592,94,185,109,33,13,30,114,3,4,86,96,0.313,0.398,0.564,0.962,164,334,11,2,0,6,5,8.9,6.3,8.5,0.8,52,0,-2,-2,3,*5
146,Mike Trout,8.9,2013,21,LAA,AL,157,716,589,109,190,115,39,9,27,97,33,7,110,136,0.323,0.432,0.557,0.988,179,328,8,9,0,8,10,8.9,6.6,10.1,-1.2,68,1,6,7,-13,*87/D
147,Alex Bregman,8.9,2019,25,HOU,AL,156,690,554,122,164,84,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328,9,9,0,8,2,8.9,6.6,7.8,1.7,53,0,-1,-1,10,56/D
148,Mel Ott,8.9,1938,29,NYG,NL,150,654,527,116,164,99,23,6,36,116,2,4,118,47,0.311,0.442,0.583,1.024,178,307,8,5,2,,13,8.9,6.6,8.3,0.5,59,1,0,1,6,*59/H
149,Ron Santo,8.9,1966,26,CHC,NL,155,672,561,93,175,116,21,8,30,94,4,5,95,78,0.312,0.412,0.538,0.95,161,302,16,6,2,8,7,8.9,6.5,8,1.3,48,-1,1,-1,7,*5/6
150,Mike Schmidt,8.9,1980,30,PHI,NL,150,652,548,104,157,76,25,8,48,121,12,5,89,119,0.286,0.38,0.624,1.004,171,342,6,2,0,13,10,8.9,6.7,7.6,1.6,47,2,-1,0,11,*5/H
151,Todd Helton,8.9,2000,26,COL,NL,160,697,580,138,216,113,59,2,42,147,5,3,103,61,0.372,0.463,0.698,1.162,163,405,12,4,0,10,22,8.9,6.8,7.2,0.9,63,0,1,1,18,*3/H
152,Charlie Gehringer,8.9,1934,31,DET,AL,154,708,601,135,214,146,50,7,11,127,11,8,99,25,0.356,0.45,0.517,0.967,149,311,,3,5,,9,8.9,6.4,7.9,1.5,49,2,3,5,11,*4
153,Fred Lynn,8.9,1979,27,BOS,AL,147,622,531,116,177,95,42,1,39,122,2,2,82,79,0.333,0.423,0.637,1.059,176,338,9,4,0,5,4,8.9,6.8,7.9,1,55,1,3,4,9,*8/HD
154,Mike Schmidt,8.9,1977,27,PHI,NL,154,667,544,114,149,73,27,11,38,101,15,8,104,122,0.274,0.393,0.574,0.967,151,312,10,9,1,9,4,8.9,6.8,6.7,2.6,41,-1,2,1,20,*5/H64
155,Eddie Collins,8.8,1912,25,PHA,AL,153,677,543,137,189,153,25,11,0,64,63,22,101,28,0.348,0.45,0.435,0.885,158,236,,0,29,,,8.8,6.3,8.2,0.7,49,0,7,7,6,*4
156,Bret Boone,8.8,2001,32,SEA,AL,158,690,623,118,206,129,37,3,37,141,5,5,40,110,0.331,0.372,0.578,0.95,153,360,11,9,5,13,5,8.8,6.4,7.7,1.7,46,3,1,4,12,*4/HD
157,Dan Brouthers,8.8,1892,34,BRO,NL,152,688,588,121,197,142,30,20,5,124,31,,84,30,0.335,0.432,0.48,0.911,179,282,,16,,,,8.8,6.5,7.8,1.1,62,0,-2,-2,12,*3
158,Rickey Henderson,8.8,1980,21,OAK,AL,158,722,591,111,179,144,22,4,9,53,100,26,117,54,0.303,0.42,0.399,0.82,135,236,6,5,6,3,7,8.8,6.7,6.9,1.4,41,2,9,11,18,*7/D
159,Snuffy Stirnweiss,8.8,1945,26,NYY,AL,152,718,632,107,195,131,32,22,10,64,33,17,78,62,0.309,0.385,0.476,0.862,145,301,9,1,6,,2,8.8,6.8,6.7,2.8,35,0,1,1,18,*4
160,Lonnie Smith,8.8,1989,33,ATL,NL,134,577,482,89,152,93,34,4,21,79,25,12,76,95,0.315,0.415,0.533,0.948,168,257,7,11,1,7,3,8.8,7,6.2,2.1,44,0,1,1,23,*7/H
161,Arky Vaughan,8.8,1938,26,PIT,NL,148,650,541,88,174,127,35,5,7,68,14,8,104,21,0.322,0.433,0.444,0.876,141,240,8,2,3,,12,8.8,6.5,7,2.9,35,3,0,3,18,*6/H
162,Dick Allen,8.8,1964,22,PHI,NL,162,709,632,125,201,121,38,13,29,91,3,4,67,138,0.318,0.382,0.557,0.939,162,352,8,0,6,3,13,8.8,6.2,8.8,0.3,52,0,1,1,-2,*5
163,Álex Rodríguez,8.8,2002,26,TEX,AL,162,725,624,125,187,101,27,2,57,142,9,4,87,122,0.3,0.392,0.623,1.015,158,389,14,10,0,4,12,8.8,6.3,8.7,1.1,51,-1,5,4,1,*6/H
164,Ken Griffey Jr.,8.8,1993,23,SEA,AL,156,691,582,113,180,94,38,3,45,109,17,9,96,91,0.309,0.408,0.617,1.025,171,359,14,6,0,7,25,8.8,6.4,8.2,0.9,52,0,4,4,8,*8D/3
165,Stan Musial,8.8,1951,30,STL,NL,152,678,578,124,205,131,30,12,32,108,4,5,98,40,0.355,0.449,0.614,1.063,183,355,6,1,1,,24,8.8,6.2,8.6,-0.4,65,1,0,1,3,738/9H
166,George Stone,8.8,1906,29,SLB,AL,154,662,581,91,208,157,25,20,6,71,35,,52,89,0.358,0.417,0.501,0.918,193,291,,7,18,,,8.8,6.3,8,-0.2,57,0,-1,-1,6,*7
167,Willie Mays,8.7,1961,30,SFG,NL,154,659,572,129,176,101,32,3,40,123,18,9,81,77,0.308,0.393,0.584,0.977,160,334,14,2,0,4,15,8.7,6.2,7.3,1.4,46,1,2,3,14,*8/H
168,Albert Pujols,8.7,2007,27,STL,NL,158,679,565,99,185,114,38,1,32,103,2,6,99,58,0.327,0.429,0.568,0.997,157,321,27,7,0,8,22,8.7,6.7,5.7,2.3,51,-3,-2,-5,31,*3/H
169,Josh Hamilton,8.7,2010,29,TEX,AL,133,571,518,95,186,111,40,3,32,100,8,1,43,95,0.359,0.411,0.633,1.044,170,328,11,5,1,4,5,8.7,6.7,7.6,0.8,51,3,4,7,11,*78D/H
170,Frank Robinson,8.7,1962,26,CIN,NL,162,701,609,134,208,116,51,2,39,136,18,9,76,62,0.342,0.421,0.624,1.045,173,380,13,11,0,5,16,8.7,6.1,8.4,-0.4,63,-1,3,1,3,*97/H
171,Mickey Mantle,8.7,1958,26,NYY,AL,150,654,519,127,158,94,21,1,42,97,18,3,129,120,0.304,0.443,0.592,1.035,188,307,11,2,2,2,13,8.7,6.7,9.3,-0.7,64,1,6,7,-5,*8
172,Mike Piazza,8.7,1997,28,LAD,NL,152,633,556,104,201,128,32,1,40,124,5,1,69,77,0.362,0.431,0.638,1.07,185,355,19,3,0,5,11,8.7,6.8,9,0.5,70,-3,-2,-5,-2,*2/DH
173,Rickey Henderson,8.7,1989,30,"NYY,OAK",AL,150,674,541,113,148,107,26,3,12,57,77,14,126,68,0.274,0.411,0.399,0.81,132,216,8,3,0,4,5,8.7,6.5,6.1,2.1,32,-1,10,10,24,*7/DH
174,George Sisler,8.7,1922,29,SLB,AL,142,655,586,134,246,178,42,18,8,105,51,19,49,14,0.42,0.467,0.594,1.061,170,348,,3,16,,,8.7,6.2,8.2,-0.1,62,0,3,3,6,*3/H
175,Chuck Knoblauch,8.7,1996,27,MIN,AL,153,701,578,140,197,135,35,14,13,72,45,14,98,74,0.341,0.448,0.517,0.965,143,299,9,19,0,6,6,8.7,6.4,7.5,1.6,50,0,3,3,11,*4/DH
176,Albert Pujols,8.7,2003,23,STL,NL,157,685,591,137,212,117,51,1,43,124,5,1,79,65,0.359,0.439,0.667,1.106,187,394,13,10,0,5,12,8.7,6.6,8.6,-0.8,73,0,2,2,1,*73/HD
177,Tris Speaker,8.7,1916,28,CLE,AL,151,647,546,102,211,160,41,8,2,79,35,27,82,20,0.386,0.47,0.502,0.972,186,274,,4,15,,,8.7,6.2,8.6,-0.4,58,0,-1,-1,1,*8
178,Cody Bellinger,8.6,2019,23,LAD,NL,156,661,558,121,170,86,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,167,351,10,3,0,4,21,8.6,6.6,6.5,1.6,51,0,1,1,23,*938/H
179,Henry Aaron,8.6,1959,25,MLN,NL,154,693,629,116,223,131,46,7,39,123,8,0,51,54,0.355,0.401,0.636,1.037,183,400,19,4,0,9,17,8.6,6.1,9.1,-1.1,64,0,6,7,-4,*98/5
180,George Brett,8.6,1979,26,KCR,AL,154,701,645,119,212,127,42,20,23,107,17,10,51,36,0.329,0.376,0.563,0.939,148,363,8,0,1,4,14,8.6,6.4,7,2,40,2,3,5,16,*5/3D
181,Gary Carter,8.6,1982,28,MON,NL,154,653,557,91,163,101,32,1,29,97,2,5,78,64,0.293,0.381,0.51,0.89,146,284,16,6,4,8,11,8.6,6.4,6.9,2.8,34,-1,0,-1,14,*2/H
182,Will Clark,8.6,1989,25,SFG,NL,159,675,588,104,196,126,38,9,23,111,8,3,74,103,0.333,0.407,0.546,0.953,175,321,6,5,0,8,14,8.6,6.4,7.6,0,55,1,2,3,9,*3/H
183,Joe Morgan,8.6,1974,30,CIN,NL,149,641,512,107,150,94,31,3,22,67,58,12,120,69,0.293,0.427,0.494,0.921,159,253,7,3,1,5,8,8.6,6.6,8.2,0.9,46,1,8,9,4,*4/H
184,Ben Zobrist,8.6,2009,28,TBR,AL,152,599,501,91,149,87,28,7,27,91,17,6,91,104,0.297,0.405,0.543,0.948,149,272,7,2,1,4,4,8.6,6.5,6.1,2.6,37,2,1,3,25,49H6/7835D
185,Lou Gehrig,8.6,1931,28,NYY,AL,155,738,619,163,211,119,31,15,46,185,17,12,117,56,0.341,0.446,0.662,1.108,194,410,,0,2,,14,8.6,6.1,9.3,-1.4,83,1,-1,0,-8,*3/9
186,Tris Speaker,8.6,1920,32,CLE,AL,150,674,552,137,214,145,50,11,8,107,10,13,97,13,0.388,0.483,0.562,1.045,172,310,,5,20,,,8.6,6.2,8.3,-0.1,65,0,0,0,3,*8/H
187,Dick Allen,8.6,1972,30,CHW,AL,148,609,506,90,156,86,28,5,37,113,19,8,99,126,0.308,0.42,0.603,1.023,199,305,13,1,0,3,16,8.6,6.2,8.9,-1.3,60,-1,3,2,-1,*3/H5
188,Charlie Gehringer,8.6,1935,32,DET,AL,150,709,610,123,201,142,32,8,19,108,11,4,79,16,0.33,0.409,0.502,0.911,138,306,,3,17,,3,8.6,6.1,7.3,1.8,39,3,5,9,14,*4/H
189,Johnny Bench,8.6,1972,24,CIN,NL,147,653,538,87,145,81,22,2,40,125,6,6,100,84,0.27,0.379,0.541,0.92,166,291,18,2,0,12,23,8.6,6.6,6.9,2.4,41,-2,-2,-4,13,*29/35
190,Snuffy Stirnweiss,8.6,1944,25,NYY,AL,154,723,643,125,205,146,35,16,8,43,55,11,73,87,0.319,0.389,0.46,0.849,139,296,6,1,6,,1,8.6,6.6,6.9,2.5,31,0,7,7,15,*4
191,Tony Gwynn,8.6,1987,27,SDP,NL,157,680,589,119,218,162,36,13,7,54,56,12,82,35,0.37,0.447,0.511,0.958,158,301,13,3,2,4,26,8.6,6.3,7.8,0.1,49,1,11,12,7,*9/H
192,Ryne Sandberg,8.6,1984,24,CHC,NL,156,700,636,114,200,126,36,19,19,84,32,7,52,101,0.314,0.367,0.52,0.887,140,331,7,3,5,4,3,8.6,6.3,7.1,2,38,1,0,1,12,*4
193,Duke Snider,8.6,1955,28,BRO,NL,148,653,538,126,166,84,34,6,42,136,9,7,104,87,0.309,0.418,0.628,1.046,169,338,9,1,4,6,19,8.6,6.2,8.2,0.4,53,3,3,6,6,*8/H
194,Henry Aaron,8.5,1962,28,MLN,NL,156,667,592,127,191,112,28,6,45,128,15,7,66,73,0.323,0.39,0.618,1.008,170,366,14,3,0,6,14,8.5,6,7.9,0.3,57,0,0,0,6,*89/H3
195,Willie Wilson,8.5,1980,24,KCR,AL,161,745,705,133,230,184,28,15,3,49,79,10,28,81,0.326,0.357,0.421,0.778,113,297,4,6,5,1,3,8.5,6.4,6,2.2,19,4,17,21,24,*78/H
196,Nap Lajoie,8.5,1904,29,CLE,AL,140,595,553,92,208,139,49,15,5,102,29,,27,19,0.376,0.413,0.546,0.959,200,302,,8,6,,,8.5,6.2,9.5,-0.6,58,0,0,0,-7,46/3
197,Henry Aaron,8.5,1967,33,ATL,NL,155,669,600,113,184,105,37,3,39,109,17,6,63,97,0.307,0.369,0.573,0.943,168,344,11,0,0,6,19,8.5,6.1,8.2,-0.5,53,1,4,5,1,*98/H4
198,Álex Rodríguez,8.5,1998,22,SEA,AL,161,748,686,123,213,131,35,5,42,124,46,13,45,121,0.31,0.36,0.56,0.919,136,384,12,10,3,4,0,8.5,6.1,7.8,1.7,38,3,5,8,8,*6/D
199,Babe Ruth,8.5,1932,37,NYY,AL,133,589,457,120,156,97,13,5,41,137,2,2,130,62,0.341,0.489,0.661,1.15,201,302,,2,0,,4,8.5,6.4,8.6,-0.6,75,0,3,3,0,*97/H3
200,Joe Cronin,8.5,1930,23,WSH,AL,154,686,587,127,203,140,41,9,13,126,17,10,72,36,0.346,0.422,0.513,0.934,135,301,,5,22,,1,8.5,5.9,6.6,2.8,37,0,0,0,20,*6
