Rk,Player,WAR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos
27,Ted Williams,10.6,1946,27,BOS,AL,150,672,514,142,176,93,37,8,38,123,0,0,156,44,0.342,0.497,0.667,1.164,215,343,12,2,0,,29,10.6,8.6,10.1,-0.3,83,0,0,0,4,*7
28,Rogers Hornsby,10.6,1929,33,CHC,NL,156,712,602,156,229,135,47,8,39,149,2,0,87,65,0.38,0.459,0.679,1.139,178,409,,1,22,,5,10.6,8.4,9.5,1.6,76,0,2,2,12,*4
29,Mike Trout,10.5,2012,20,LAA,AL,139,639,559,129,182,117,27,8,30,83,49,5,67,139,0.326,0.399,0.564,0.963,168,315,7,6,0,7,4,10.5,8.4,8.7,2,53,1,10,11,19,*87/9H
30,Robin Yount,10.5,1982,26,MIL,AL,156,704,635,129,210,123,46,12,29,114,14,3,54,63,0.331,0.379,0.578,0.957,166,367,19,1,4,10,2,10.5,8.4,9.9,1.8,59,-1,8,7,8,*6/HD
31,Ty Cobb,10.5,1910,23,DET,AL,140,598,508,106,194,138,35,13,8,91,65,,64,46,0.382,0.455,0.549,1.004,205,279,,4,16,,,10.5,8.1,9.7,0.4,61,0,7,7,8,*89/H
32,Babe Ruth,10.5,1931,36,NYY,AL,145,663,534,149,199,119,31,3,46,162,5,4,128,51,0.373,0.495,0.7,1.195,218,374,,1,0,,5,10.5,8.2,10.7,-0.8,97,2,1,4,-2,*97/H3
33,Willie Mays,10.5,1962,31,SFG,NL,162,706,621,130,189,99,36,5,49,141,18,2,78,85,0.304,0.384,0.615,0.999,165,382,19,4,0,3,11,10.5,7.9,8.3,2.1,55,-2,4,2,20,*8/H
34,Ted Williams,10.5,1942,23,BOS,AL,150,671,522,141,186,111,34,5,36,137,3,2,145,51,0.356,0.499,0.648,1.147,216,338,12,4,0,,20,10.5,8.6,10,-0.2,84,1,0,1,5,*7/9
35,Mike Trout,10.5,2016,24,LAA,AL,159,681,549,123,173,107,32,5,29,100,30,7,116,137,0.315,0.441,0.55,0.991,173,302,5,11,0,5,12,10.5,8.1,9.9,1,63,3,6,8,6,*8D/H
36,Carl Yastrzemski,10.5,1968,28,BOS,AL,157,664,539,90,162,105,32,2,23,74,13,6,119,90,0.301,0.426,0.495,0.922,171,267,12,2,0,4,13,10.5,8.2,7.6,2,47,0,4,4,25,*7/38H
