PlayerId,MLBAMID,Name
1,407792.0,Alfredo Amezaga
2,110236.0,Garret Anderson
3,110293.0,Kevin Appier
8,112621.0,Dennis Cook
10,275930.0,David Eckstein
11,113889.0,Darin Erstad
12,113966.0,Jorge Fabregas
13,114485.0,Brad Fullmer
14,114768.0,Benji Gil
15,136267.0,Troy Glaus
18,491703.0,Neftalí Feliz
19,150456.0,Adam Kennedy
20,117722.0,Al Levine
24,134260.0,Bengie Molina
25,150040.0,José Molina
27,150009.0,Ramon Ortiz
28,120190.0,Orlando Palmeiro
29,120401.0,Troy Percival
32,121640.0,Tim Salmon
33,150011.0,Scott Schoeneweis
34,121986.0,Aaron Sele
35,276912.0,Scot Shields
37,122596.0,Scott Spiezio
39,123849.0,Donne Wall
40,132220.0,Jarrod Washburn
42,277184.0,Matt Wise
44,110230.0,Brian Anderson
45,150148.0,Rod Barajas
46,110683.0,Miguel Batista
47,110712.0,Danny Bautista
48,110826.0,Jay Bell
50,400090.0,Alex Cintron
51,112461.0,Greg Colbrunn
52,112736.0,Craig Counsell
54,114135.0,Steve Finley
55,114935.0,Luis Gonzalez
56,115007.0,Mark Grace
57,115229.0,Jose Guillen
58,115727.0,Rick Helling
60,116615.0,Randy Johnson
61,218294.0,Byung-Hyun Kim
64,118256.0,Matt Mantei
65,119064.0,Damian Miller
66,150224.0,Chad Moeller
67,119374.0,Mike Morgan
68,119624.0,Mike Myers
71,279568.0,John Patterson
72,121117.0,Armando Reynoso
73,121811.0,Curt Schilling
74,150160.0,Junior Spivey
75,122840.0,Todd Stottlemyre
76,123057.0,Greg Swindell
77,124326.0,Matt Williams
78,124523.0,Tony Womack
81,111072.0,Henry Blanco
83,111369.0,Darren Bragg
84,112106.0,Vinny Castilla
87,212297.0,Julio Franco
88,279577.0,Rafael Furcal
89,279578.0,Marcus Giles
90,114849.0,Tom Glavine
92,115391.0,Chris Hammond
94,136500.0,Wes Helms
95,116100.0,Darren Holmes
96,116662.0,Andruw Jones
97,116706.0,Chipper Jones
98,407798.0,Ryan Langerhans
100,117763.0,Kerry Ligtenberg
102,117913.0,Albie Lopez
103,117919.0,Javy Lopez
104,118120.0,Greg Maddux
105,150302.0,Jason Marquis
106,119154.0,Kevin Millwood
107,150305.0,Damian Moss
110,400141.0,Horacio Ramirez
111,121060.0,Mike Remlinger
114,122111.0,Gary Sheffield
115,122477.0,John Smoltz
117,122989.0,B.J. Surhoff
120,235095.0,Dan Wheeler
123,110312.0,Alex Arias
124,110682.0,Tony Batista
125,407400.0,Rick Bauer
126,407853.0,Erik Bedard
128,406933.0,Larry Bigbie
129,111234.0,Mike Bordick
130,111496.0,Chris Brock
131,112559.0,Jeff Conine
132,112682.0,Marty Cordova
137,113884.0,Scott Erickson
138,114309.0,Brook Fordyce
141,400158.0,Jay Gibbons
143,115183.0,Buddy Groom
144,150020.0,Jerry Hairston
145,115797.0,Pat Hentgen
147,116595.0,Jason Johnson
148,406402.0,Jorge Julio
150,150438.0,Rodrigo Lopez
152,275928.0,Luis Matos
153,150439.0,Gary Matthews
157,206551.0,Melvin Mora
161,132260.0,Sidney Ponson
163,276537.0,Chris Richard
166,406878.0,Brian Roberts
168,124805.0,B.J. Ryan
169,121977.0,David Segui
170,150334.0,Chris Singleton
174,134361.0,Rolando Arrojo
175,110427.0,Carlos Baerga
177,429783.0,Rafael Betancourt
179,111734.0,John Burkett
180,112113.0,Frank Castillo
182,112316.0,Tony Clark
185,113028.0,Johnny Damon
186,136766.0,Brian Daubach
188,407154.0,Casey Fossum
189,114581.0,Rich Garces
190,114596.0,Nomar Garciaparra
191,114908.0,Wayne Gomes
192,115415.0,Chris Haney
194,115749.0,Rickey Henderson
195,115812.0,Dustin Hermanson
196,150167.0,Shea Hillenbrand
197,279615.0,Sun-Woo Kim
199,117955.0,Derek Lowe
200,118377.0,Pedro Martinez
201,134265.0,Lou Merloni
202,119182.0,Doug Mirabelli
204,119811.0,Trot Nixon
205,119948.0,Jose Offerman
206,119984.0,Darren Oliver
210,120903.0,Manny Ramirez
211,461416.0,Will Venable
213,121663.0,Rey Sanchez
216,123584.0,Ugueth Urbina
217,123660.0,Jason Varitek
219,123801.0,Tim Wakefield
221,110184.0,Sandy Alomar Jr.
223,335092.0,Rocky Biddle
225,279824.0,Mark Buehrle
226,112381.0,Royce Clayton
227,150317.0,Joe Crede
230,113660.0,Ray Durham
231,114342.0,Keith Foulke
232,279782.0,Jon Garland
234,150474.0,Gary Glover
235,115017.0,Tony Graffanino
236,407483.0,Willie Harris
237,133982.0,Bob Howry
240,150322.0,Mark Johnson
242,117244.0,Paul Konerko
243,150324.0,Carlos Lee
246,117863.0,Kenny Lofton
247,150122.0,Damaso Marte
248,120044.0,Magglio Ordonez
249,120107.0,Antonio Osuna
250,133220.0,Jim Parque
253,121234.0,Todd Ritchie
254,400023.0,Aaron Rowand
255,123245.0,Frank Thomas
256,123610.0,Jose Valentin
258,216106.0,Dan Wright
260,110134.0,Antonio Alfonseca
261,110189.0,Moises Alou
264,110840.0,Mark Bellhorn
265,110853.0,Alan Benes
266,110891.0,Jason Bere
267,111244.0,Joe Borowski
270,400292.0,Hee-Seop Choi
271,136725.0,Matt Clement
273,407297.0,Juan Cruz
275,113291.0,Delino DeShields
278,150035.0,Kyle Farnsworth
279,114032.0,Jeff Fassero
280,114833.0,Joe Girardi
281,114924.0,Alex Gonzalez
282,114971.0,Tom Gordon
284,116316.0,Todd Hundley
286,117731.0,Darren Lewis
287,117758.0,Jon Lieber
290,118158.0,Ron Mahay
291,118163.0,Pat Mahomes
293,118730.0,Fred McGriff
295,119482.0,Bill Mueller
296,349193.0,Will Ohman
297,324432.0,Augie Ojeda
299,120085.0,Donovan Osborne
300,279913.0,Corey Patterson
301,407578.0,Mark Prior
302,122544.0,Sammy Sosa
303,122918.0,Chris Stynes
304,134268.0,Kerry Wood
305,407296.0,Carlos Zambrano
307,406895.0,Jose Acevedo
311,111213.0,Aaron Boone
312,407777.0,Ben Broussard
313,150342.0,Jim Brower
314,112087.0,Sean Casey
315,112128.0,Juan Castro
317,113296.0,Elmer Dessens
319,276055.0,Adam Dunn
320,113845.0,Juan Encarnacion
326,115056.0,Danny Graves
327,115135.0,Ken Griffey Jr.
328,115383.0,Joey Hamilton
329,115649.0,Jimmy Haynes
332,400290.0,Austin Kearns
335,117501.0,Barry Larkin
337,150178.0,Jason LaRue
344,276377.0,Wily Mo Peña
348,277410.0,Chris Reitsma
349,121206.0,Jose Rijo
354,122231.0,Jose Silva
356,122803.0,Kelly Stinnett
357,122975.0,Scott Sullivan
359,123842.0,Todd Walker
360,124171.0,Gabe White
361,150182.0,Scott Williamson
364,110229.0,Brady Anderson
367,276056.0,Danys Baez
369,150396.0,Milton Bradley
370,137140.0,Russell Branyan
372,111736.0,Ellis Burks
373,132660.0,Jolbert Cabrera
375,112526.0,Bartolo Colon
378,113330.0,Einar Díaz
379,400181.0,Ryan Drese
384,114133.0,Chuck Finley
385,114465.0,Travis Fryman
387,115263.0,Ricky Gutierrez
390,117566.0,Matt Lawton
393,400121.0,Victor Martinez
395,150348.0,John McDonald
396,118960.0,Jose Mercedes
397,119640.0,Charles Nagy
400,120407.0,Eddie Pérez
401,121215.0,Ricardo Rincon
402,228594.0,David Riske
404,282332.0,CC Sabathia
406,122201.0,Paul Shuey
409,123272.0,Jim Thome
411,123744.0,Omar Vizquel
412,150414.0,Jake Westbrook
413,124233.0,Bob Wickman
414,124498.0,Mark Wohlers
415,124605.0,Jaret Wright
416,133742.0,Benny Agbayani
420,110870.0,Gary Bennett
424,276336.0,Shawn Chacon
426,134003.0,Scott Elarton
428,113911.0,Bobby Estalella
429,150118.0,Brian Fuentes
430,115399.0,Mike Hampton
432,115732.0,Todd Helton
433,116075.0,Todd Hollandsworth
434,407298.0,Jason Jennings
435,150455.0,Jose Jimenez
436,116734.0,Todd Jones
439,118967.0,Kent Mercker
441,119673.0,Denny Neagle
443,334393.0,Juan Pierre
444,121096.0,Dennys Reyes
446,276343.0,Victor Santos
449,122205.0,Terry Shumpert
451,133221.0,Justin Speier
453,123307.0,John Thomson
454,346874.0,Juan Uribe
455,123833.0,Larry Walker
456,124184.0,Rick White
457,124755.0,Todd Zeile
458,110032.0,Juan Acevedo
460,333293.0,Adam Bernero
462,407074.0,Nate Cornejo
464,113702.0,Damion Easley
466,137001.0,Robert Fick
468,115370.0,Shane Halter
469,115915.0,Bobby Higginson
470,276346.0,Brandon Inge
471,116423.0,Damian Jackson
475,117769.0,Jose Lima
476,150197.0,Jose Macias
477,118136.0,Wendell Magee
480,119215.0,Brian Moehler
481,276347.0,Eric Munson
482,120194.0,Dean Palmer
483,120202.0,Jose Paniagua
484,120214.0,Craig Paquette
485,120285.0,Danny Patterson
491,150230.0,Mark Redman
494,407845.0,Fernando Rodney
496,121690.0,Julio Santana
497,122251.0,Randall Simon
499,122562.0,Steve Sparks
501,123803.0,Matt Walbeck
502,123828.0,Jamie Walker
503,213711.0,Jeff Weaver
505,124693.0,Dmitri Young
510,277417.0,Josh Beckett
