Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Wandy Peralta","NYY",1,1,1.2,7,0.6316,1,0.8125,0.2692,0.1154,0.2692,0.2857,123.96005195886721,0,0,0.2857,0.4,137.17232383477435,1,139.0356468488656,0,-1.3541060447692872,0,0.2,0,0,,0.7700350570584731,18.584173803804525,0.7700350570584731,18.771315808023672,0.7487746150792385,1.1999976253556512,92.22521793826468,109.0807692307692,125.06923076923077,119.11153846153846,0.08605960011482239,0.11323899775743484,"Wandy Peralta",14295,593974
"Jacob deGrom","NYM",15,15,92,324,0.4324,0.7557,0.6091,0.385,0.2162,0.3581,0.4506,193.3042223603293,0.034,38.271898268635276,0.4167,0.2125,73.90430387933715,0.8716,120.57702292197317,0.09375,13.677288744823041,0.0663,0.3675,1.076086956521739,26.89225260351768,1.52,1.2352476990741235,28.76423711275402,1.6148024787073552,37.394568251396684,1.7433209090366337,0.5543478260869565,42.86901561253047,148.29225122349106,106.30758564437194,117.97406199021206,4.891270160675049,5.0387701988220215,"Jacob deGrom",10954,594798
"Drew Smith","NYM",1,1,2,8,0.5333,0.7143,0.6,0.375,0.25,0.3333,0.375,160.86618538579998,0,0,0.375,0.4,139.11398377286994,0.5,69.17313420479007,0,30.92040100097656,0,0.2,0,0,,0.17003030776977557,3.082616622041098,2.8165703013539316,65.97059786000354,2.4823029766082763,1,77.33234188927067,136.77083333333334,103.87916666666666,116.9875,0.17167900502681732,0.021628299728035927,"Drew Smith",17755,622098
"Louis Head","TBR",2,2,2,9,0.5,0.9286,0.7419,0.3585,0.1509,0.283,0.4444,192.82674778081136,0,0,0.4444,0.5,171.46540479346794,0.625,86.89727928054103,0.5,17.339340209960938,0.2,0.6,9,217.9162593677805,,5.670030307769776,137.39940989222413,0.9343903034925463,22.570523729595035,1.464900201981832,1.5,115.28175055046206,112.94339622641509,114.53018867924528,116.00377358490567,0.007914549671113491,-0.07587269693613052,"Louis Head",13259,545343
"Brusdar Graterol","LAD",1,1,1,5,0.25,0.875,0.9,0.619,0.0476,0.2857,0.4,171.59059774485328,0,0,0.4,0.5,173.89247971608742,0,0,1,-6.0549666086832685,0.3333,0.6667,18,439.59769040257635,,12.170030307769775,284.87907484102266,0.9343903034925463,21.215504293621677,1.6288379766082768,2,154.66468377854133,114.9095238095238,114.0047619047619,115.5,-0.070107102394104,-0.12711599469184875,"Brusdar Graterol",20367,660813
"Travis Bergen","TOR",1,1,1,3,0.375,0.8333,0.8889,0.5,0.0625,0.1875,0,0,0,0,0,0,0,1,,0,18.60460027058919,0,0.3333,0,0,,3.1700303077697756,74.63671025165318,4.934390303492546,115.0338433741022,5.304011311800942,0,0,86.7,116.6,115.4,0.022542400285601616,0.06612920016050339,"Travis Bergen",18581,664157
"Anthony Bass","MIA",1,1,1,4,0.25,0.6667,0.75,0.6364,0.0909,0.5455,0.5,214.4882471810666,0,0,0.5,0,0,1,138.34626840958015,1,23.568199157714844,0.5,1,9,213.49256223962905,,12.170030307769775,293.1354827688935,0.9343903034925463,21.215504293621677,1.3818029766082764,1,77.33234188927067,117.38181818181819,117.44545454545455,115.16363636363639,-0.07352569699287415,-0.034839700907468796,"Anthony Bass",7982,542914
"Collin McHugh","TBR",7,7,12,41,0.3913,0.75,0.675,0.439,0.1585,0.3537,0.2927,126.98346781797518,0.0244,28.683808189369596,0.2683,0.21428571428571427,73.48517348291483,1,139.0356468488656,0,12.351892743791852,0,0.1786,0,0,,1.420030307769776,35.168598150974155,2.743300304561854,64.38497963884933,2.9794739324329242,0.5833333333333334,44.83179188073525,108.3717791411043,108.33374233128835,115.08711656441716,0.5129449963569641,0.8178110122680664,"Collin McHugh",7531,543521
"Erik Swanson","SEA",2,2,4.2,16,0.3415,0.84,0.8718,0.4306,0.0694,0.2222,0.1875,81.34878430137857,0.0625,73.50226120484326,0.125,0.09090909090909091,31.175528144266902,1,139.0356468488656,0.142857142,17.482083638509113,0.0833,0.3333,1.9285701148372958,46.55484322192483,,5.312885990922327,127.10927950642103,5.173711793597095,120.56595823343639,4.791602736609486,0.6428567049457653,49.40643086616648,101.41944444444444,112.00555555555555,114.8861111111111,0.013251099735498428,0.20580999553203583,"Erik Swanson",16587,657024
"Michael Kopech","CHW",4,4,14,51,0.2712,0.7391,0.703,0.4636,0.1364,0.3182,0.451,195.66243537578217,0.0588,69.17859829677876,0.3922,0.21739130434782608,74.55017599715997,0.9722,135.17354551661145,0.222222222,14.45699951171875,0.12,0.44,1.9285714285714286,44.15925154084262,,2.38431602205549,53.79560405861902,1.661404590734414,39.37606233643712,1.971563786818821,0.7142857142857143,54.896071690696225,121.12764976958529,106.59585253456223,114.47373271889401,0.5461289882659912,0.6629359722137451,"Michael Kopech",17282,656629
