Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Trent Thornton","SEA",1,1,2,8,0.2727,0.9091,0.7059,0.3889,0.1389,0.2778,0.375,161.67626424097037,0.125,146.5340560867884,0.25,0.25,85.25207398140404,0.5,69.47966583266188,0,21.288349151611328,0,0,0,0,,1.7550398826599123,41.99576005619098,3.4083927989006044,79.52420921139937,3.4318518595695497,1,77.01609067923123,110.50277777777777,109.20277777777778,121.51666666666668,0.07816769927740097,0.023407500237226486,"Trent Thornton",17948,663423
"Josh Staumont","KCR",1,1,1,3,0.1429,0.6,0.5,0.5,0.2143,0.3571,0.6667,287.4244694743007,0,0,0.6667,0,0,1,,0,23.12849998474121,1,1,0,0,,-0.7449601173400877,-17.60548011379073,0.9083927989006044,21.116543561774957,0.51347165388355,0,0,112.09285714285714,109.60000000000001,119.39999999999999,0.06971489638090134,0.06698469817638397,"Josh Staumont",18335,622251
"Nick Robertson","BOS",1,1,1,4,0.375,1,0.5714,0.4667,0.2,0.4667,0.25,107.78417616064691,0.25,293.0681121735768,0,0,0,1,138.95933166532376,0,51.14400100708008,0,0,0,0,,4.255039882659912,98.65434811210734,7.561745715141297,176.55926859407091,7.974554984569549,1,77.01609067923123,142.91333333333333,103.74666666666667,118.59333333333333,0.03424619883298874,0.06676699966192245,"Nick Robertson",26226,687798
"Jimmy Cordero","NYY",1,1,2,6,0.3636,1,1,0.6071,0,0.1724,0,0,0,0,0,0,0,1,,0,-7.336266835530599,0,0.5,0,0,,3.2550398826599123,75.18431138497179,4.081716340780258,95.25511173465046,5.314138319762216,0,0,117.74285714285715,107.15714285714286,118.27142857142857,0.04193409904837608,0.1331939995288849,"Jimmy Cordero",15690,622772
"Victor González","LAD",1,1,0.2,3,0.3636,1,0.8,0.2143,0.0714,0.2857,0,0,0.3333,385.16630591733957,-0.3333,0,0,1,139.2846934344098,0,-25.843050003051758,0,0,0,0,,7.755044576530585,174.87611276194025,7.755044576530585,177.02534034788835,9.35212731866198,1.5000015646235574,112.65163476564632,77.10000000000001,111.92857142857143,118.2,-0.016425300389528275,0.04390830174088478,"Victor Gonzalez",16408,624647
"Carlos Hernández","KCR",4,4,7,27,0.3846,0.8333,0.7353,0.5315,0.1622,0.2703,0.3704,159.68026081905592,0.037,43.417498056371656,0.3333,0.3125,106.56509247675505,0.5,69.47966583266188,0,17.23525047302246,0.0625,0.4375,3.857142857142857,86.57963620194569,,0.8264684540884839,19.306311624562703,2.4798213703291756,57.82993339868172,2.4485032043194073,0.8571428571428571,66.0137920107696,133.27567567567567,110.16216216216215,117.34414414414415,0.3615320026874542,0.1656010001897812,"Carlos Hernandez",22713,672578
"Keegan Akin","BAL",1,1,1,5,0.6154,0.7143,0.8667,0.48,0.08,0.28,0.2,86.22734092851753,0,0,0.2,0.5,170.50414796280808,0.5,69.47966583266188,0,-2.7871198654174805,0.25,0.25,9,215.1995362802787,,1.2550398826599123,29.70904611056353,2.9083927989006044,67.84267608147448,3.8890449845695496,2,154.03218135846245,121.48,114.22399999999999,117.18800000000002,0.044624101370573044,-0.036911800503730774,"Keegan Akin",19362,669211
"Jacob deGrom","TEX",6,6,30.1,115,0.3958,0.775,0.6034,0.3711,0.204,0.3592,0.3913,168.70566667789964,0.0348,40.774693052134204,0.3565,0.265625,90.58032860524179,0.5941,82.55009788829992,0.066666666,13.836575594815342,0.0909,0.3333,2.670332636731111,60.9565064314626,1.89,1.5407522640177176,34.91555702418556,2.3187944740566495,54.06785135144874,2.2432267031758624,0.7582426005532784,58.39688088106738,161.31862527716186,106.00731707317074,116.56474501108647,1.46642005443573,0.8804550170898438,"Jacob deGrom",10954,594798
"Jimmy Herget","LAA",1,1,1,3,0.4286,1,0.6667,0.4167,0.1667,0.4167,0.6667,287.4244694743007,0,0,0.6667,0,0,1,,0,10.598400115966797,0,0,0,0,,-0.7449601173400877,-17.087256258203585,-0.7449601173400877,-17.510850171272175,0.34636054234066105,0,0,121.41666666666667,94.99166666666667,115.55833333333334,0.0706653967499733,0.06799700111150742,"Jimmy Herget",17556,623474
"Fernando Cruz","CIN",2,2,3,11,0.375,0.6667,0.5185,0.3846,0.25,0.3654,0.7273,326.68208023451695,0.0909,105.04535521386622,0.6364,0.5,168.2708474836024,0,0,0,28.503650665283203,0,1,3,65.19567720156755,,-1.0782934506734203,-23.236864653882265,-0.5271758119265231,-11.922802668274059,0.7779124153047483,0.6666666666666666,50.06734100481535,84.61923076923077,98.93846153846154,113.38653846153846,0.22684000432491302,0.008706130087375641,"Fernando Cruz",7048,518585
