Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",101,101,629.1,0.3596,0.8328,0.7606,0.4283,0.1226,0.273,0.2667,116.83426909794356,0.0533,61.31283644995638,0.2134,0.29120879120879123,99.69798197136089,0.7441,103.3162155860692,0.099616858,10.35701691332481,0.0538,0.3302,3.060383013108317,71.577480071566,,2.9047138752476567,66.80852645976726,3.2092317632252185,75.43690081221875,3.4194681455221434,1.055085317084072,80.77508340771386,110.69929628941043,105.65720586996308,109.876809300077,19.26114010810852,18.11794948577881,"Zack Wheeler",10310,554430
"Corbin Burnes","MIL",102,102,609.2,0.3532,0.8331,0.6887,0.3703,0.1456,0.3155,0.3077,134.80800868497508,0.0688,79.63660386975957,0.2389,0.26955307262569833,92.26185640480801,0.7632,105.93366848651857,0.110416666,9.523941609783392,0.0492,0.3259,2.849096275154807,67.37847577230833,,2.8236667317244017,66.63652615681272,2.9834712483863095,70.62951636525995,3.170261922284929,0.9939852289831969,76.2063724530483,127.72700043083762,102.3433353757755,108.74033018371873,17.732289791107178,18.618030071258545,"Corbin Burnes",19361,669203
"Kevin Gausman","- - -",105,105,606.1,0.3697,0.8283,0.7187,0.4255,0.1465,0.3023,0.2992,130.11781781684942,0.0595,69.12155080312881,0.2396,0.31716906946264745,109.65377653634721,0.7602,105.14344678601147,0.105536332,12.27985305981258,0.0825,0.4058,3.146782013645917,77.59447308935512,,2.8069219391337974,67.21816558752948,3.079112791346439,73.23149660482868,3.226743768585503,1.142934976654413,88.94379946633002,108.43884016575399,104.70009487496985,107.27425485453061,17.349310398101807,14.586089611053467,"Kevin Gausman",14107,592332
"Aaron Nola","PHI",108,108,650.2,0.3645,0.8454,0.7436,0.4211,0.1252,0.3125,0.2866,125.46307870794489,0.0516,59.038552855190694,0.235,0.29225137278828556,100.02059341574791,0.6915,95.98277013516356,0.135220125,12.720269518099569,0.073,0.36,3.997434556099715,93.82180092178409,,3.297870186442239,75.99234681246142,3.196601215728022,75.58832677957037,3.261120904609279,1.0773554878223377,82.5392729979868,106.28521787845115,107.64118415940372,107.10915338482594,16.575680017471313,11.519750118255615,"Aaron Nola",16149,605400
"Gerrit Cole","NYY",108,108,664,0.3452,0.8201,0.7208,0.4154,0.1367,0.3063,0.3105,135.92629699592348,0.0594,70.61445002143894,0.2511,0.27319587628865977,94.02566536955781,0.7959,110.20895318611805,0.137670196,13.688797617958153,0.0889,0.3981,3.0768072289156625,75.4135418998683,,3.2690813829392633,77.27191449122274,3.143089186046684,74.64467680908028,3.124194627059295,1.0105421686746987,78.49720331182071,126.5100253273692,103.52764528684561,111.22819775765934,15.079920172691345,17.260380268096924,"Gerrit Cole",13125,543037
"Max Scherzer","- - -",92,92,544.2,0.3486,0.8045,0.7103,0.4323,0.1472,0.303,0.3105,135.1918821255602,0.0589,67.42545317354121,0.2516,0.2745869394177813,94.07024419413284,0.8238,114.38949652063573,0.117088607,19.996548394918623,0.0833,0.3524,2.941248895739532,70.53289723047055,,3.3169956812453294,77.9356129433055,3.4892532956808537,82.33899050847232,3.2183483680288347,1.011628053403547,77.50292745556006,107.91412407880428,103.69831920227237,105.09003512690218,13.803450167179108,16.56046974658966,"Max Scherzer",3137,453286
"Sandy Alcantara","MIA",100,100,661,0.3709,0.8494,0.7644,0.4456,0.1244,0.2738,0.2251,98.64393392101366,0.0613,70.87339161324299,0.1637,0.27267699115044247,93.3304166306493,0.7304,101.32560094613257,0.114545454,5.728369549504491,0.0604,0.3928,3.1316139159294654,73.74041117649641,,3.458116834353035,83.36888457423517,3.586272156893212,85.11328171429214,3.793626968295106,1.0877441572721187,83.47775167687416,117.09326142762997,104.71766525238444,107.00692818405436,13.787107169628143,16.637247443199158,"Sandy Alcantara",18684,645261
"Logan Webb","SFG",102,102,604.1,0.3368,0.8832,0.7775,0.4178,0.1033,0.2958,0.2283,100.29602697061874,0.0559,64.57738038358491,0.1723,0.30439952437574314,103.99709788827988,0.7169,99.5138362369975,0.118598382,1.839480545941521,0.0603,0.4148,3.2912335442004723,80.35521406081601,,3.0944503272894543,76.58802418543344,3.15447959899628,74.72035556963418,3.4185410341189177,1.1467193796535582,87.85818307648857,104.08355782761313,102.3451466298895,102.87810814988433,13.750995218753815,13.07200202345848,"Logan Webb",17995,657277
"Luis Castillo","- - -",103,103,605,0.3414,0.8158,0.7262,0.4183,0.1375,0.2848,0.2655,115.02338372010257,0.0796,91.97077285734461,0.1859,0.2924951892238615,100.80151077031036,0.7373,102.18662721460083,0.125725338,9.263535454729134,0.0665,0.3849,3.436361902984416,80.8975551959952,,3.4734762329139226,81.09355720364249,3.493957538724531,82.92035070556469,3.7292494667446077,1.1917349360518346,92.151596586848,100.68095571273572,103.232965786414,101.58201734946668,13.41953992843628,12.7330002784729,"Luis Castillo",15689,622491
"Shane Bieber","CLE",80,80,502,0.3433,0.8726,0.7067,0.411,0.1399,0.3179,0.2769,121.3326432337987,0.0612,72.42377945675123,0.2157,0.2935206869633099,101.25938843397778,0.7816,108.11058027042392,0.121654501,9.729157744481459,0.0766,0.4433,2.9760956175298805,73.34322731160483,,3.0326104777137144,73.66076690021303,3.0735963629940137,73.71152836733553,3.353255342039977,1.095617529880478,85.32036931454189,103.25044873353264,102.11459119673417,102.5722915831688,12.52998971939087,14.099390029907227,"Shane Bieber",19427,669456
"Framber Valdez","HOU",94,94,598.1,0.2994,0.8862,0.7587,0.4449,0.1095,0.2868,0.2377,104.05002017414469,0.0798,95.17822605140329,0.1579,0.28277153558052437,97.4289253946309,0.7393,102.28169677242892,0.149681528,-1.208919379690623,0.0673,0.4397,3.2189416957214854,77.61754374814977,,3.4133914440699926,82.40732003018461,3.260457582599256,77.72350970909638,3.5124362853063116,1.1649025762813476,90.59475003966932,107.27225116532199,97.17183411542617,99.3388309182691,12.30089008808136,14.381580114364624,"Framber Valdez",17295,664285
"Dylan Cease","CHW",109,109,585,0.3252,0.8109,0.6979,0.3799,0.1394,0.2932,0.2851,124.85908968994512,0.1038,123.23323407958084,0.1812,0.29350104821802936,100.94944170842773,0.7549,104.5150535861554,0.107890499,16.10124065581802,0.0748,0.3758,3.584613491262499,84.05536794604087,,3.6994247671761133,84.22709192591601,3.973760741436622,94.45170118318468,3.9212414360071763,1.2752130016603835,98.93346871671143,117.6927939862521,96.72956018952699,104.48773469979005,12.294094860553741,11.546130955219269,"Dylan Cease",18525,656302
