franchID,franchIDFG,franchIDBR,franchIDLahman,yearFirst,yearLast,yearsActive,franchName,isActive
85,1086,WST,WST,1884,1884,1,Washington Statesmen,False
86,1090,WNA,WNA,1884,1884,1,Washington Nationals,False
87,1039,KCN,KCN,1886,1886,1,Kansas City Cowboys,False
88,1087,WNL,WNL,1886,1889,4,Washington Nationals,False
89,1026,CLV,CLV,1887,1899,13,Cleveland Spiders,False
90,1037,IND,IND,1887,1889,3,Indianapolis Hoosiers,False
91,1038,KCC,KCC,1888,1889,2,Kansas City Cowboys,False
92,1025,CLS,CLS,1889,1891,3,Columbus Solons,False
93,1003,BFB,BFB,1890,1890,1,Buffalo Bisons,False
94,1012,BRG,BRG,1890,1890,1,Brooklyn Gladiators,False
95,1013,BRS,BRS,1890,1891,2,Boston Reds,False
96,1016,BWW,BWW,1890,1890,1,Brooklyn Ward's Wonders,False
97,1022,CHP,CHP,1890,1890,1,Chicago Pirates,False
98,1024,CLI,CLI,1890,1890,1,Cleveland Infants,False
99,1054,NYI,NYI,1890,1890,1,New York Giants,False
100,1058,PBB,PBB,1890,1890,1,Pittsburgh Burghers,False
101,1062,PHQ,PHQ,1890,1891,2,Philadelphia Athletics,False
102,1068,ROC,ROC,1890,1890,1,Rochester Broncos,False
103,1077,SYS,SYS,1890,1890,1,Syracuse Stars,False
104,1078,TLM,TLM,1890,1890,1,Toledo Maumees,False
105,1023,CKK,CKK,1891,1891,1,Cincinnati Kelly's Killers,False
106,1047,MLA,MLA,1891,1891,1,Milwaukee Brewers,False
107,1082,WAS,WAS,1891,1899,9,Washington Senators,False
108,9,BLA,NYY,1901,1902,2,Baltimore Orioles,False
109,1004,BFL,BFL,1914,1915,2,Buffalo Bisons,False
110,1007,BLT,BLT,1914,1915,2,Baltimore Terrapins,False
111,1014,BTT,BTT,1914,1915,2,Brooklyn Tip-Tops,False
112,1021,CHH,CHH,1914,1915,2,Chicago Whales,False
113,1040,KCP,KCP,1914,1915,2,Kansas City Packers,False
114,1051,NEW,NEW,1914,1915,2,Newark Pepper,False
115,1059,PBS,PBS,1914,1915,2,Pittsburgh Rebels,False
116,1071,SLI,SLI,1914,1915,2,St. Louis Terriers,False
